source,file,kernel,vgpr,agpr,sgpr,vgpr_spill,sgpr_spill,scratch_bytes,lds_bytes
interpreter,clifft_v2_coop.hsaco,clifft_v2_global,128,64,108,0,47,416,784
interpreter,clifft_v2_probe.hsaco,clifft_v2_probe,4,0,10,0,0,0,0
interpreter,clifft_v2_register.hsaco,clifft_v2_register,128,64,106,8,44,880,0
specialized,coop_r10_n140_4dfa2381ce3e045a.hsaco,clifft_v2_spec,72,8,74,0,0,0,13064
specialized,coop_r10_n140_74005d8ad83bf609.hsaco,clifft_v2_spec,72,8,74,0,0,0,13064
specialized,coop_r10_n1720_977e1e830813621d.hsaco,clifft_v2_spec,127,63,104,0,0,336,13064
specialized,coop_r10_n1720_cadfdf1980b2e2e8.hsaco,clifft_v2_spec,128,64,104,0,0,336,13064
specialized,coop_r10_n4371_39922b8133612125.hsaco,clifft_v2_spec,128,64,92,0,0,288,13064
specialized,coop_r10_n4371_8d8678a106beb1c.hsaco,clifft_v2_spec,128,64,92,0,0,288,13064
specialized,coop_r7_n16374_82222aeb2f308368.hsaco,clifft_v2_spec,128,64,74,0,0,288,13064
specialized,coop_r7_n16374_be6222f2400b1e00.hsaco,clifft_v2_spec,128,64,74,0,0,288,13064
specialized,coop_r7_n4134_112c068fdca1d2d9.hsaco,clifft_v2_spec,128,64,74,0,0,288,13064
specialized,coop_r7_n4134_6706098a042c5b74.hsaco,clifft_v2_spec,128,64,74,0,0,272,13064
specialized,coop_r7_n8859_a41d29039d97bf55.hsaco,clifft_v2_spec,128,64,74,0,0,288,13064
specialized,coop_r7_n8859_ac99da98fe956671.hsaco,clifft_v2_spec,128,64,74,0,0,288,13064
specialized,global_r11_n16415_535587abc2d59a0c.hsaco,clifft_v2_spec,128,64,106,0,4,320,784
specialized,global_r11_n16415_ea42523959212638.hsaco,clifft_v2_spec,128,64,106,0,4,320,784
specialized,global_r11_n8952_c9a8e3428673faa8.hsaco,clifft_v2_spec,128,64,106,0,4,320,784
specialized,global_r11_n8952_ffbc70bc41dcf1d0.hsaco,clifft_v2_spec,128,64,106,0,4,320,784
specialized,global_r12_n4296_44f8c3889ac430aa.hsaco,clifft_v2_spec,128,64,106,0,4,320,784
specialized,global_r12_n4296_bdfd759dc14e3e02.hsaco,clifft_v2_spec,128,64,106,0,0,320,784
specialized,global_r13_n9359_3f3448b0f87bbc1.hsaco,clifft_v2_spec,128,64,106,0,4,336,784
specialized,global_r13_n9359_48418f6580c129c8.hsaco,clifft_v2_spec,128,64,106,0,4,336,784
specialized,global_r14_n16521_eed76d91f15abd84.hsaco,clifft_v2_spec,128,64,106,0,4,352,784
specialized,global_r20_n387_c4fdc0ec35e1675.hsaco,clifft_v2_spec,106,42,106,0,0,112,784
specialized,global_r20_n418_e6dc6d20bad43d87.hsaco,clifft_v2_spec,104,40,106,0,0,96,784
