case,form,isa_lines,instrs,vgpr,sgpr,scratch,s_load,ds_op,v_alu,branch
S1_frame_cnot,interp,347,136,8,14,0,6,0,44,6
S1_frame_cnot,spec,254,47,3,12,0,3,0,8,4
S2_meas_dormant,interp,428,206,25,13,0,9,0,86,18
S2_meas_dormant,spec,269,70,14,26,0,4,0,19,0
S3_expand_rank,interp,381,164,18,16,0,6,0,67,9
S3_expand_rank,spec,294,83,8,10,0,4,0,27,6
S4_meas_active,interp,560,331,24,30,0,7,4,139,15
S4_meas_active,spec,456,240,14,26,0,5,4,96,7
S5_array_cnot,interp,424,207,16,24,0,4,0,84,10
S5_array_cnot,spec,294,81,8,10,0,1,0,33,8
S6_array_u2,interp,364,147,24,23,0,12,0,54,10
S6_array_u2,spec,289,86,18,16,0,7,0,42,2
S7_noise_block,interp,763,447,56,86,0,9,0,214,23
S7_noise_block,spec,716,407,56,85,0,5,0,210,20
S8_apply_pauli,interp,390,185,22,44,0,17,0,71,3
S8_apply_pauli,spec,342,137,21,42,0,11,0,63,3
