pipeline,circuit,stage,file_lines,op_kind,count
v1,circuit_d3,1_emitted,23002,llvm.ptr,9794
v1,circuit_d3,1_emitted,23002,llvm.mlir.constant,3511
v1,circuit_d3,1_emitted,23002,llvm.getelementptr,2736
v1,circuit_d3,1_emitted,23002,llvm.load,2610
v1,circuit_d3,1_emitted,23002,llvm.and,1631
v1,circuit_d3,1_emitted,23002,llvm.xor,1575
v1,circuit_d3,1_emitted,23002,llvm.lshr,1536
v1,circuit_d3,1_emitted,23002,llvm.store,1519
v1,circuit_d3,1_emitted,23002,llvm.zext,1459
v1,circuit_d3,1_emitted,23002,llvm.shl,1095
v1,circuit_d3,1_emitted,23002,llvm.struct,827
v1,circuit_d3,1_emitted,23002,llvm.trunc,482
v1,circuit_d3,1_emitted,23002,llvm.br,469
v1,circuit_d3,1_emitted,23002,llvm.or,456
v1,circuit_d3,1_emitted,23002,llvm.add,419
v1,circuit_d3,1_emitted,23002,llvm.fmul,337
v1,circuit_d3,1_emitted,23002,llvm.cond_br,324
v1,circuit_d3,1_emitted,23002,llvm.icmp,305
v1,circuit_d3,1_emitted,23002,llvm.extractvalue,188
v1,circuit_d3,1_emitted,23002,llvm.fadd,146
v1,circuit_d3,1_emitted,23002,llvm.fcmp,141
v1,circuit_d3,1_emitted,23002,llvm.insertvalue,130
v1,circuit_d3,1_emitted,23002,llvm.sub,118
v1,circuit_d3,1_emitted,23002,llvm.call,96
v1,circuit_d3,1_emitted,23002,llvm.select,87
v1,circuit_d3,1_emitted,23002,llvm.uitofp,84
v1,circuit_d3,1_emitted,23002,llvm.mul,77
v1,circuit_d3,1_emitted,23002,llvm.mlir.undef,65
v1,circuit_d3,1_emitted,23002,llvm.fsub,59
v1,circuit_d3,1_emitted,23002,llvm.amdgcn.ds.bpermute,45
v1,circuit_d3,2_opt,14257,llvm.ptr,6074
v1,circuit_d3,2_opt,14257,llvm.load,2586
v1,circuit_d3,2_opt,14257,llvm.store,1519
v1,circuit_d3,2_opt,14257,llvm.xor,1453
v1,circuit_d3,2_opt,14257,llvm.getelementptr,888
v1,circuit_d3,2_opt,14257,llvm.shl,812
v1,circuit_d3,2_opt,14257,llvm.and,782
v1,circuit_d3,2_opt,14257,llvm.lshr,731
v1,circuit_d3,2_opt,14257,llvm.zext,600
v1,circuit_d3,2_opt,14257,llvm.struct,581
v1,circuit_d3,2_opt,14257,llvm.trunc,482
v1,circuit_d3,2_opt,14257,llvm.br,469
v1,circuit_d3,2_opt,14257,llvm.or,455
v1,circuit_d3,2_opt,14257,llvm.add,418
v1,circuit_d3,2_opt,14257,llvm.cond_br,324
v1,circuit_d3,2_opt,14257,llvm.fmul,313
v1,circuit_d3,2_opt,14257,llvm.icmp,305
v1,circuit_d3,2_opt,14257,llvm.mlir.constant,180
v1,circuit_d3,2_opt,14257,llvm.fadd,146
v1,circuit_d3,2_opt,14257,llvm.fcmp,141
v1,circuit_d3,2_opt,14257,llvm.sub,118
v1,circuit_d3,2_opt,14257,llvm.extractvalue,116
v1,circuit_d3,2_opt,14257,llvm.insertvalue,110
v1,circuit_d3,2_opt,14257,llvm.call,96
v1,circuit_d3,2_opt,14257,llvm.select,87
v1,circuit_d3,2_opt,14257,llvm.uitofp,84
v1,circuit_d3,2_opt,14257,llvm.mul,77
v1,circuit_d3,2_opt,14257,llvm.fsub,59
