"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,11130714,11130714.000000,87.57,11130714,11130714,0.00000000e+00
"hsa_signal_wait_scacquire",15,888040,59202.666667,6.99,7240,701800,178270.701882
"hsa_executable_freeze",2,358635,179317.500000,2.82,137128,221507,59664.963090
"hsa_executable_load_agent_code_object",2,230526,115263.000000,1.81,98328,132198,23949.706679
"hsa_code_object_reader_create_from_memory",2,30090,15045.000000,0.2367,9810,20280,7403.407999
"hsa_agent_get_info",60,21950,365.833333,0.1727,20,15930,2063.614807
"hsa_executable_create_alt",2,10970,5485.000000,0.0863,1760,9210,5267.945520
"hsa_isa_get_info_alt",2,8860,4430.000000,0.0697,1190,7670,4582.051942
"hsa_signal_create",8,7600,950.000000,0.0598,90,2040,697.321406
"hsa_iterate_agents",1,7560,7560.000000,0.0595,7560,7560,0.00000000e+00
"hsa_signal_load_relaxed",73,4460,61.095890,0.0351,20,420,82.167878
"hsa_executable_get_symbol_by_name",13,2810,216.153846,0.0221,90,830,224.185134
"hsa_queue_load_read_index_scacquire",16,2300,143.750000,0.0181,30,310,88.383633
"hsa_queue_add_write_index_screlease",16,1100,68.750000,8.654e-03,30,370,90.101794
"hsa_executable_symbol_get_info",26,1090,41.923077,8.575e-03,20,200,46.734932
"hsa_system_get_info",4,880,220.000000,6.923e-03,40,390,190.962474
"hsa_signal_destroy",2,750,375.000000,5.900e-03,370,380,7.071068
"hsa_signal_silent_store_relaxed",16,740,46.250000,5.822e-03,20,210,53.898052
"hsa_signal_store_screlease",16,620,38.750000,4.878e-03,20,190,41.291646
"hsa_system_get_major_extension_table",1,600,600.000000,4.720e-03,600,600,0.00000000e+00
"hsa_queue_load_read_index_relaxed",4,470,117.500000,3.698e-03,60,150,40.311289
"hsa_agent_iterate_isas",1,290,290.000000,2.281e-03,290,290,0.00000000e+00
