"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,784670,784670,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993953363023,1247993953365743
1,1,"Agent 2",1,784670,784670,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993953363023,1247993953365743
1,1,"Agent 2",1,784670,784670,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",230.000000,1247993953363023,1247993953365743
1,1,"Agent 2",1,784670,784670,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",224.000000,1247993953363023,1247993953365743
1,1,"Agent 2",1,784670,784670,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",16.000000,1247993953363023,1247993953365743
2,2,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993953440739,1247993953443619
2,2,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993953440739,1247993953443619
2,2,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",173.000000,1247993953440739,1247993953443619
2,2,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",81.000000,1247993953440739,1247993953443619
2,2,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993953440739,1247993953443619
3,3,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993953507457,1247993953509737
3,3,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993953507457,1247993953509737
3,3,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",120.000000,1247993953507457,1247993953509737
3,3,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",120.000000,1247993953507457,1247993953509737
3,3,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993953507457,1247993953509737
4,4,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993960891627,1247993960894227
4,4,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993960891627,1247993960894227
4,4,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",100.000000,1247993960891627,1247993960894227
4,4,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",88.000000,1247993960891627,1247993960894227
4,4,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993960891627,1247993960894227
5,5,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993960984424,1247993960986664
5,5,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993960984424,1247993960986664
5,5,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",85.000000,1247993960984424,1247993960986664
5,5,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",64.000000,1247993960984424,1247993960986664
5,5,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993960984424,1247993960986664
6,6,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993961055422,1247993961058062
6,6,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993961055422,1247993961058062
6,6,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",127.000000,1247993961055422,1247993961058062
6,6,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,1247993961055422,1247993961058062
6,6,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993961055422,1247993961058062
7,7,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993961126981,1247993961130181
7,7,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993961126981,1247993961130181
7,7,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",163.000000,1247993961126981,1247993961130181
7,7,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,1247993961126981,1247993961130181
7,7,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993961126981,1247993961130181
8,8,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993961194739,1247993961198019
8,8,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993961194739,1247993961198019
8,8,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",194.000000,1247993961194739,1247993961198019
8,8,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,1247993961194739,1247993961198019
8,8,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993961194739,1247993961198019
9,9,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993961259817,1247993961264857
9,9,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993961259817,1247993961264857
9,9,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",127.000000,1247993961259817,1247993961264857
9,9,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,1247993961259817,1247993961264857
9,9,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993961259817,1247993961264857
10,10,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247993961327296,1247993961329336
10,10,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247993961327296,1247993961329336
10,10,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",95.000000,1247993961327296,1247993961329336
10,10,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,1247993961327296,1247993961329336
10,10,"Agent 2",1,784670,784670,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247993961327296,1247993961329336
11,11,"Agent 2",1,784670,784670,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"SQ_INSTS_LDS",25280.000000,1247993962191525,1247993962732591
