"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,784679,784679,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",129.000000,1247995811134779,1247995811137539
1,1,"Agent 2",1,784679,784679,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",274.000000,1247995811134779,1247995811137539
2,2,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",37.000000,1247995811224656,1247995811227616
2,2,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",50.000000,1247995811224656,1247995811227616
3,3,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",74.000000,1247995811299894,1247995811302054
3,3,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",138.000000,1247995811299894,1247995811302054
4,4,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",42.000000,1247995819060137,1247995819062657
4,4,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",101.000000,1247995819060137,1247995819062657
5,5,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",13.000000,1247995819166054,1247995819168294
5,5,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",16.000000,1247995819166054,1247995819168294
6,6,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",16.000000,1247995819238093,1247995819240533
6,6,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247995819238093,1247995819240533
7,7,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,1247995819309612,1247995819312852
7,7,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247995819309612,1247995819312852
8,8,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",22.000000,1247995819381731,1247995819386851
8,8,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247995819381731,1247995819386851
9,9,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",15.000000,1247995819453409,1247995819455769
9,9,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247995819453409,1247995819455769
10,10,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",11.000000,1247995819525688,1247995819527808
10,10,"Agent 2",1,784679,784679,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247995819525688,1247995819527808
11,11,"Agent 2",1,784679,784679,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_HIT_sum",4049631.000000,1247995820453472,1247995820881104
11,11,"Agent 2",1,784679,784679,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_MISS_sum",76485.000000,1247995820453472,1247995820881104
12,12,"Agent 2",1,784679,784679,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",123.000000,1247995821010622,1247995821013182
12,12,"Agent 2",1,784679,784679,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",230.000000,1247995821010622,1247995821013182
