"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10246077,10246077.000000,56.16,10246077,10246077,0.00000000e+00
"hsa_signal_wait_scacquire",2,6830405,3415202.500000,37.44,12300,6818105,4812430.866933
"hsa_executable_destroy",1,906728,906728.000000,4.97,906728,906728,0.00000000e+00
"hsa_executable_freeze",1,108249,108249.000000,0.5933,108249,108249,0.00000000e+00
"hsa_executable_load_agent_code_object",1,105248,105248.000000,0.5769,105248,105248,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,18780,18780.000000,0.1029,18780,18780,0.00000000e+00
"hsa_iterate_agents",1,13099,13099.000000,0.0718,13099,13099,0.00000000e+00
"hsa_executable_create_alt",1,9160,9160.000000,0.0502,9160,9160,0.00000000e+00
"hsa_signal_create",2,1600,800.000000,8.770e-03,120,1480,961.665222
"hsa_executable_get_symbol_by_name",2,990,495.000000,5.426e-03,290,700,289.913780
"hsa_agent_get_info",7,780,111.428571,4.275e-03,30,250,79.252460
"hsa_signal_destroy",2,780,390.000000,4.275e-03,190,590,282.842712
"hsa_system_get_info",3,550,183.333333,3.015e-03,20,480,257.358375
"hsa_queue_load_write_index_relaxed",1,380,380.000000,2.083e-03,380,380,0.00000000e+00
"hsa_code_object_reader_destroy",1,270,270.000000,1.480e-03,270,270,0.00000000e+00
"hsa_executable_symbol_get_info",4,240,60.000000,1.316e-03,20,160,66.833126
"hsa_queue_cas_write_index_relaxed",1,200,200.000000,1.096e-03,200,200,0.00000000e+00
"hsa_signal_store_screlease",1,180,180.000000,9.866e-04,180,180,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,150,150.000000,8.222e-04,150,150,0.00000000e+00
"hsa_signal_store_relaxed",1,140,140.000000,7.674e-04,140,140,0.00000000e+00
