"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10393245,10393245.000000,91.08,10393245,10393245,0.00000000e+00
"hsa_signal_wait_scacquire",10,381424,38142.400000,3.34,7160,289516,88375.019384
"hsa_executable_freeze",2,318226,159113.000000,2.79,102009,216217,80757.251266
"hsa_executable_load_agent_code_object",2,215307,107653.500000,1.89,83369,131938,34343.469255
"hsa_agent_get_info",60,31810,530.166667,0.2788,20,25010,3231.514569
"hsa_code_object_reader_create_from_memory",2,27239,13619.500000,0.2387,7449,19790,8726.404787
"hsa_executable_create_alt",2,9840,4920.000000,0.0862,710,9130,5953.839098
"hsa_isa_get_info_alt",2,8740,4370.000000,0.0766,1220,7520,4454.772721
"hsa_iterate_agents",1,7100,7100.000000,0.0622,7100,7100,0.00000000e+00
"hsa_signal_create",8,6380,797.500000,0.0559,120,1550,523.443270
"hsa_executable_get_symbol_by_name",13,2530,194.615385,0.0222,100,790,194.148370
"hsa_signal_load_relaxed",48,2300,47.916667,0.0202,20,330,61.986901
"hsa_queue_load_read_index_scacquire",11,1460,132.727273,0.0128,30,260,75.112038
"hsa_queue_add_write_index_screlease",11,940,85.454545,8.238e-03,30,510,144.039136
"hsa_executable_symbol_get_info",26,810,31.153846,7.098e-03,20,100,17.280491
"hsa_system_get_info",4,690,172.500000,6.047e-03,30,370,145.229703
"hsa_signal_silent_store_relaxed",10,620,62.000000,5.433e-03,20,330,95.777520
"hsa_signal_destroy",2,600,300.000000,5.258e-03,210,390,127.279221
"hsa_system_get_major_extension_table",1,570,570.000000,4.995e-03,570,570,0.00000000e+00
"hsa_signal_store_screlease",11,450,40.909091,3.944e-03,20,180,47.000967
"hsa_queue_load_read_index_relaxed",3,370,123.333333,3.242e-03,70,170,50.332230
"hsa_agent_iterate_isas",1,330,330.000000,2.892e-03,330,330,0.00000000e+00
