"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247981387993534,1247981387995934
1,1,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247981387993534,1247981387995934
1,1,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",85.000000,1247981387993534,1247981387995934
1,1,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",64.000000,1247981387993534,1247981387995934
1,1,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247981387993534,1247981387995934
2,2,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247981388078850,1247981388081850
2,2,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247981388078850,1247981388081850
2,2,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",158.000000,1247981388078850,1247981388081850
2,2,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,1247981388078850,1247981388081850
2,2,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,1247981388078850,1247981388081850
3,3,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,1247981388145968,1247981388148648
3,3,"Agent 2",1,784546,784546,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,1247981388145968,1247981388148648
