"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",12.000000,1247982510716607,1247982510718727
1,1,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",48.000000,1247982510716607,1247982510718727
2,2,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",18.000000,1247982510808445,1247982510811565
2,2,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247982510808445,1247982510811565
3,3,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,1247982510883124,1247982510886723
3,3,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247982510883124,1247982510886723
4,4,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",18.000000,1247982510953722,1247982510956562
4,4,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247982510953722,1247982510956562
5,5,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,1247982511042361,1247982511044961
5,5,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247982511042361,1247982511044961
6,6,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",11.000000,1247982511114360,1247982511116680
6,6,"Agent 2",1,784559,784559,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1247982511114360,1247982511116680
7,7,"Agent 2",1,784559,784559,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_HIT_sum",75101.000000,1247982511879007,1247982511897206
7,7,"Agent 2",1,784559,784559,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_MISS_sum",37457.000000,1247982511879007,1247982511897206
8,8,"Agent 2",1,784559,784559,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",123.000000,1247982512024364,1247982512027124
8,8,"Agent 2",1,784559,784559,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",230.000000,1247982512024364,1247982512027124
