"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10336725,10336725.000000,84.82,10336725,10336725,0.00000000e+00
"hsa_executable_destroy",1,908198,908198.000000,7.45,908198,908198,0.00000000e+00
"hsa_signal_wait_scacquire",2,682080,341040.000000,5.60,12850,669230,464130.749035
"hsa_executable_freeze",1,109868,109868.000000,0.9016,109868,109868,0.00000000e+00
"hsa_executable_load_agent_code_object",1,102899,102899.000000,0.8444,102899,102899,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,19049,19049.000000,0.1563,19049,19049,0.00000000e+00
"hsa_iterate_agents",1,12649,12649.000000,0.1038,12649,12649,0.00000000e+00
"hsa_executable_create_alt",1,8410,8410.000000,0.0690,8410,8410,0.00000000e+00
"hsa_signal_create",2,1650,825.000000,0.0135,120,1530,997.020561
"hsa_executable_get_symbol_by_name",2,950,475.000000,7.796e-03,270,680,289.913780
"hsa_agent_get_info",7,880,125.714286,7.221e-03,40,360,132.269566
"hsa_signal_destroy",2,810,405.000000,6.647e-03,300,510,148.492424
"hsa_system_get_info",3,660,220.000000,5.416e-03,30,370,173.493516
"hsa_queue_load_write_index_relaxed",1,320,320.000000,2.626e-03,320,320,0.00000000e+00
"hsa_executable_symbol_get_info",4,260,65.000000,2.134e-03,30,170,70.000000
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,1.723e-03,210,210,0.00000000e+00
"hsa_signal_store_screlease",1,180,180.000000,1.477e-03,180,180,0.00000000e+00
"hsa_code_object_reader_destroy",1,180,180.000000,1.477e-03,180,180,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,150,150.000000,1.231e-03,150,150,0.00000000e+00
"hsa_signal_store_relaxed",1,110,110.000000,9.027e-04,110,110,0.00000000e+00
