"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10341485,10341485.000000,66.13,10341485,10341485,0.00000000e+00
"hsa_signal_wait_scacquire",10,4609456,460945.600000,29.48,7390,4000084,1251944.011305
"hsa_executable_freeze",2,357005,178502.500000,2.28,135378,221627,60987.252771
"hsa_executable_load_agent_code_object",2,231006,115503.000000,1.48,101358,129648,20004.050840
"hsa_code_object_reader_create_from_memory",2,29220,14610.000000,0.1869,9760,19460,6858.935778
"hsa_agent_get_info",60,23490,391.500000,0.1502,20,17560,2271.013979
"hsa_executable_create_alt",2,9300,4650.000000,0.0595,1080,8220,5048.742418
"hsa_isa_get_info_alt",2,8240,4120.000000,0.0527,1180,7060,4157.787873
"hsa_iterate_agents",1,7740,7740.000000,0.0495,7740,7740,0.00000000e+00
"hsa_signal_create",8,6700,837.500000,0.0428,130,1520,569.354271
"hsa_executable_get_symbol_by_name",13,2960,227.692308,0.0189,110,780,232.993342
"hsa_signal_load_relaxed",49,2580,52.653061,0.0165,20,300,62.708835
"hsa_queue_load_read_index_scacquire",12,1200,100.000000,7.674e-03,30,230,66.742381
"hsa_executable_symbol_get_info",26,1050,40.384615,6.715e-03,20,210,45.911286
"hsa_queue_add_write_index_screlease",12,1030,85.833333,6.587e-03,30,390,114.610672
"hsa_signal_destroy",2,900,450.000000,5.756e-03,390,510,84.852814
"hsa_signal_store_screlease",12,740,61.666667,4.732e-03,20,230,71.074012
"hsa_queue_load_read_index_relaxed",4,710,177.500000,4.541e-03,60,350,123.659479
"hsa_system_get_major_extension_table",1,680,680.000000,4.349e-03,680,680,0.00000000e+00
"hsa_system_get_info",4,610,152.500000,3.901e-03,40,360,142.214627
"hsa_signal_silent_store_relaxed",10,600,60.000000,3.837e-03,20,180,60.736224
"hsa_agent_iterate_isas",1,290,290.000000,1.855e-03,290,290,0.00000000e+00
