"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",55.000000,1248015375578521,1248015375581041
1,1,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",125.000000,1248015375578521,1248015375581041
2,2,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,1248015375668278,1248015375670837
2,2,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1248015375668278,1248015375670837
3,3,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,1248015375746155,1248015375748515
3,3,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1248015375746155,1248015375748515
4,4,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",65.000000,1248015375815834,1248015375819033
4,4,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",104.000000,1248015375815834,1248015375819033
5,5,"Agent 2",1,786347,786347,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",15.000000,1248015383300213,1248015383301933
5,5,"Agent 2",1,786347,786347,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",42.000000,1248015383300213,1248015383301933
6,6,"Agent 2",1,786347,786347,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",14.000000,1248015383369211,1248015383370611
6,6,"Agent 2",1,786347,786347,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",16.000000,1248015383369211,1248015383370611
7,7,"Agent 2",1,786347,786347,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"TCC_HIT_sum",17336230.000000,1248015384022917,1248015388348621
7,7,"Agent 2",1,786347,786347,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"TCC_MISS_sum",31290.000000,1248015384022917,1248015388348621
8,8,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,1248015388471138,1248015388473538
8,8,"Agent 2",1,786347,786347,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",16.000000,1248015388471138,1248015388473538
