"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",281987.000000,1248017274415512,1248017274418032
1,1,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4122.000000,1248017274415512,1248017274418032
1,1,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,1248017274415512,1248017274418032
1,1,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",6646.000000,1248017274415512,1248017274418032
2,2,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",242908.000000,1248017274490748,1248017274493068
2,2,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4365.000000,1248017274490748,1248017274493068
2,2,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,1248017274490748,1248017274493068
2,2,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2844.000000,1248017274490748,1248017274493068
3,3,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",267237.000000,1248017274566865,1248017274569385
3,3,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4353.000000,1248017274566865,1248017274569385
3,3,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,1248017274566865,1248017274569385
3,3,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2663.000000,1248017274566865,1248017274569385
4,4,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",253395.000000,1248017274620783,1248017274623783
4,4,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",5465.000000,1248017274620783,1248017274623783
4,4,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,1248017274620783,1248017274623783
4,4,"Agent 2",1,786356,786356,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",6593.000000,1248017274620783,1248017274623783
5,5,"Agent 2",1,786356,786356,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"GRBM_GUI_ACTIVE",175958.000000,1248017281939176,1248017281940976
5,5,"Agent 2",1,786356,786356,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_BUSY_CYCLES",2849.000000,1248017281939176,1248017281940976
5,5,"Agent 2",1,786356,786356,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,1248017281939176,1248017281940976
5,5,"Agent 2",1,786356,786356,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVE_CYCLES",1661.000000,1248017281939176,1248017281940976
6,6,"Agent 2",1,786356,786356,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"GRBM_GUI_ACTIVE",171749.000000,1248017281991094,1248017281992774
