"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10324215,10324215.000000,59.34,10324215,10324215,0.00000000e+00
"hsa_signal_wait_scacquire",2,5855979,2927989.500000,33.66,12950,5843029,4122488.395753
"hsa_executable_destroy",1,961386,961386.000000,5.53,961386,961386,0.00000000e+00
"hsa_executable_freeze",1,110889,110889.000000,0.6373,110889,110889,0.00000000e+00
"hsa_executable_load_agent_code_object",1,100519,100519.000000,0.5777,100519,100519,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,18550,18550.000000,0.1066,18550,18550,0.00000000e+00
"hsa_iterate_agents",1,12990,12990.000000,0.0747,12990,12990,0.00000000e+00
"hsa_executable_create_alt",1,8600,8600.000000,0.0494,8600,8600,0.00000000e+00
"hsa_signal_create",2,1640,820.000000,9.426e-03,140,1500,961.665222
"hsa_executable_get_symbol_by_name",2,1170,585.000000,6.724e-03,260,910,459.619408
"hsa_agent_get_info",7,730,104.285714,4.196e-03,40,230,71.846397
"hsa_signal_destroy",2,680,340.000000,3.908e-03,190,490,212.132034
"hsa_system_get_info",3,440,146.666667,2.529e-03,30,340,168.621865
"hsa_queue_load_write_index_relaxed",1,330,330.000000,1.897e-03,330,330,0.00000000e+00
"hsa_signal_store_screlease",1,240,240.000000,1.379e-03,240,240,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,1.207e-03,210,210,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,9.771e-04,30,80,25.000000
"hsa_code_object_reader_destroy",1,160,160.000000,9.196e-04,160,160,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,150,150.000000,8.621e-04,150,150,0.00000000e+00
"hsa_signal_store_relaxed",1,130,130.000000,7.472e-04,130,130,0.00000000e+00
