"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",32,75507454,2359607.937500,87.41,7500,4000115,1962872.382327
"hsa_queue_create",1,10168160,10168160.000000,11.77,10168160,10168160,0.00000000e+00
"hsa_executable_freeze",2,357805,178902.500000,0.4142,136368,221437,60152.866769
"hsa_executable_load_agent_code_object",2,230717,115358.500000,0.2671,93659,137058,30687.727197
"hsa_agent_get_info",60,31650,527.500000,0.0366,20,24950,3227.961851
"hsa_code_object_reader_create_from_memory",2,31179,15589.500000,0.0361,10339,20840,7425.328309
"hsa_iterate_agents",1,10290,10290.000000,0.0119,10290,10290,0.00000000e+00
"hsa_isa_get_info_alt",2,9919,4959.500000,0.0115,1220,8699,5288.451616
"hsa_executable_create_alt",2,9890,4945.000000,0.0114,1510,8380,4857.823587
"hsa_signal_create",8,6550,818.750000,7.583e-03,100,1760,576.676128
"hsa_signal_load_relaxed",78,4450,57.051282,5.152e-03,20,470,84.209216
"hsa_executable_get_symbol_by_name",13,2740,210.769231,3.172e-03,90,810,218.992448
"hsa_queue_load_read_index_scacquire",14,1550,110.714286,1.794e-03,30,340,89.224375
"hsa_queue_add_write_index_screlease",14,1300,92.857143,1.505e-03,30,710,180.274516
"hsa_queue_load_read_index_relaxed",5,1070,214.000000,1.239e-03,50,430,158.996855
"hsa_signal_destroy",2,1050,525.000000,1.216e-03,400,650,176.776695
"hsa_signal_silent_store_relaxed",16,1020,63.750000,1.181e-03,20,320,78.475049
"hsa_executable_symbol_get_info",26,1020,39.230769,1.181e-03,20,230,41.657948
"hsa_signal_store_screlease",14,810,57.857143,9.377e-04,20,360,88.767507
"hsa_system_get_info",4,770,192.500000,8.914e-04,30,350,131.244047
"hsa_system_get_major_extension_table",1,580,580.000000,6.714e-04,580,580,0.00000000e+00
"hsa_agent_iterate_isas",1,410,410.000000,4.746e-04,410,410,0.00000000e+00
