"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,19485140,9742570.000000,62.63,12290,19472850,13760693.941688
"hsa_queue_create",1,10326977,10326977.000000,33.20,10326977,10326977,0.00000000e+00
"hsa_executable_destroy",1,1025866,1025866.000000,3.30,1025866,1025866,0.00000000e+00
"hsa_executable_freeze",1,111848,111848.000000,0.3595,111848,111848,0.00000000e+00
"hsa_executable_load_agent_code_object",1,106829,106829.000000,0.3434,106829,106829,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,21969,21969.000000,0.0706,21969,21969,0.00000000e+00
"hsa_iterate_agents",1,12970,12970.000000,0.0417,12970,12970,0.00000000e+00
"hsa_executable_create_alt",1,10760,10760.000000,0.0346,10760,10760,0.00000000e+00
"hsa_signal_create",2,1780,890.000000,5.722e-03,130,1650,1074.802307
"hsa_executable_get_symbol_by_name",2,1380,690.000000,4.436e-03,180,1200,721.248917
"hsa_agent_get_info",7,950,135.714286,3.054e-03,30,290,111.632902
"hsa_signal_destroy",2,820,410.000000,2.636e-03,300,520,155.563492
"hsa_system_get_info",3,690,230.000000,2.218e-03,30,600,320.780299
"hsa_executable_symbol_get_info",4,370,92.500000,1.189e-03,20,290,131.751028
"hsa_queue_cas_write_index_relaxed",1,250,250.000000,8.036e-04,250,250,0.00000000e+00
"hsa_queue_load_write_index_relaxed",1,230,230.000000,7.393e-04,230,230,0.00000000e+00
"hsa_signal_store_screlease",1,200,200.000000,6.429e-04,200,200,0.00000000e+00
"hsa_code_object_reader_destroy",1,200,200.000000,6.429e-04,200,200,0.00000000e+00
"hsa_signal_store_relaxed",1,170,170.000000,5.465e-04,170,170,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,150,150.000000,4.822e-04,150,150,0.00000000e+00
