"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",59.000000,1248093664437808,1248093664441768
1,1,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",129.000000,1248093664437808,1248093664441768
2,2,"Agent 2",1,789837,789837,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",114.000000,1248093664529525,1248093664532205
2,2,"Agent 2",1,789837,789837,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",209.000000,1248093664529525,1248093664532205
3,3,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",18.000000,1248093664607363,1248093664610243
3,3,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1248093664607363,1248093664610243
4,4,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",15.000000,1248093664678801,1248093664682881
4,4,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1248093664678801,1248093664682881
5,5,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",11.000000,1248093664759959,1248093664762039
5,5,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,1248093664759959,1248093664762039
6,6,"Agent 2",1,789837,789837,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",15.000000,1248093665141149,1248093665143069
6,6,"Agent 2",1,789837,789837,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",50.000000,1248093665141149,1248093665143069
7,7,"Agent 2",1,789837,789837,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",14.000000,1248093665206108,1248093665207708
7,7,"Agent 2",1,789837,789837,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",16.000000,1248093665206108,1248093665207708
8,8,"Agent 2",1,789837,789837,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",14.000000,1248093665269266,1248093665270786
8,8,"Agent 2",1,789837,789837,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",16.000000,1248093665269266,1248093665270786
9,9,"Agent 2",1,789837,789837,131072,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"TCC_HIT_sum",53252658.000000,1248093665905317,1248093710566549
9,9,"Agent 2",1,789837,789837,131072,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"TCC_MISS_sum",5870966.000000,1248093665905317,1248093710566549
10,10,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,1248093710692707,1248093710695267
10,10,"Agent 2",1,789837,789837,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",16.000000,1248093710692707,1248093710695267
