"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10498154,10498154.000000,85.51,10498154,10498154,0.00000000e+00
"hsa_signal_wait_scacquire",15,1043822,69588.133333,8.50,7140,830698,211044.079454
"hsa_executable_freeze",2,343251,171625.500000,2.80,125217,218034,65631.530109
"hsa_executable_load_agent_code_object",2,275851,137925.500000,2.25,115606,160245,31564.539605
"hsa_code_object_reader_create_from_memory",2,35860,17930.000000,0.2921,12700,23160,7396.336931
"hsa_agent_get_info",60,24790,413.166667,0.2019,20,18560,2403.478053
"hsa_executable_create_alt",2,13339,6669.500000,0.1087,1720,11619,6999.650027
"hsa_isa_get_info_alt",2,10450,5225.000000,0.0851,1210,9240,5678.067453
"hsa_iterate_agents",1,8090,8090.000000,0.0659,8090,8090,0.00000000e+00
"hsa_signal_create",8,5850,731.250000,0.0477,110,1490,536.534848
"hsa_signal_load_relaxed",73,3760,51.506849,0.0306,20,350,66.136879
"hsa_executable_get_symbol_by_name",13,3680,283.076923,0.0300,100,1180,370.526306
"hsa_queue_load_read_index_scacquire",16,3000,187.500000,0.0244,30,310,101.816829
"hsa_queue_add_write_index_screlease",16,1280,80.000000,0.0104,30,450,120.055543
"hsa_signal_destroy",2,950,475.000000,7.738e-03,460,490,21.213203
"hsa_executable_symbol_get_info",26,860,33.076923,7.005e-03,20,100,18.712398
"hsa_queue_load_read_index_relaxed",4,820,205.000000,6.679e-03,60,290,100.829890
"hsa_signal_silent_store_relaxed",16,730,45.625000,5.946e-03,20,210,48.023432
"hsa_signal_store_screlease",16,690,43.125000,5.620e-03,20,120,32.190837
"hsa_system_get_info",4,690,172.500000,5.620e-03,40,460,193.799725
"hsa_system_get_major_extension_table",1,570,570.000000,4.643e-03,570,570,0.00000000e+00
"hsa_agent_iterate_isas",1,370,370.000000,3.014e-03,370,370,0.00000000e+00
