"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2790024,2790024,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",129.000000,6196622912624646,6196622912627686
1,1,"Agent 2",1,2790024,2790024,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",266.000000,6196622912624646,6196622912627686
2,2,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",37.000000,6196622912714844,6196622912717924
2,2,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",50.000000,6196622912714844,6196622912717924
3,3,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",74.000000,6196622912813483,6196622912816043
3,3,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",138.000000,6196622912813483,6196622912816043
4,4,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",42.000000,6196622920468022,6196622920470662
4,4,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",100.000000,6196622920468022,6196622920470662
5,5,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",13.000000,6196622920565340,6196622920567740
5,5,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",16.000000,6196622920565340,6196622920567740
6,6,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",16.000000,6196622920638580,6196622920641300
6,6,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6196622920638580,6196622920641300
7,7,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,6196622920710539,6196622920713859
7,7,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6196622920710539,6196622920713859
8,8,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",22.000000,6196622920788018,6196622920791498
8,8,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",30.000000,6196622920788018,6196622920791498
9,9,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",15.000000,6196622920862138,6196622920864658
9,9,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",30.000000,6196622920862138,6196622920864658
10,10,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",11.000000,6196622920933417,6196622920935537
10,10,"Agent 2",1,2790024,2790024,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",30.000000,6196622920933417,6196622920935537
11,11,"Agent 2",1,2790024,2790024,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_HIT_sum",4050234.000000,6196622921841641,6196622922270797
11,11,"Agent 2",1,2790024,2790024,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_MISS_sum",76484.000000,6196622921841641,6196622922270797
12,12,"Agent 2",1,2790024,2790024,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",123.000000,6196622922392756,6196622922395636
12,12,"Agent 2",1,2790024,2790024,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",246.000000,6196622922392756,6196622922395636
