"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2792767,2792767,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196669818987634,6196669818992513
1,1,"Agent 2",1,2792767,2792767,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196669818987634,6196669818992513
1,1,"Agent 2",1,2792767,2792767,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",298.000000,6196669818987634,6196669818992513
1,1,"Agent 2",1,2792767,2792767,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",209.000000,6196669818987634,6196669818992513
1,1,"Agent 2",1,2792767,2792767,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",16.000000,6196669818987634,6196669818992513
2,2,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196669819185788,6196669819187908
2,2,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196669819185788,6196669819187908
2,2,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",90.000000,6196669819185788,6196669819187908
2,2,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",72.000000,6196669819185788,6196669819187908
2,2,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196669819185788,6196669819187908
3,3,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196669819260826,6196669819263186
3,3,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196669819260826,6196669819263186
3,3,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",85.000000,6196669819260826,6196669819263186
3,3,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",64.000000,6196669819260826,6196669819263186
3,3,"Agent 2",1,2792767,2792767,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196669819260826,6196669819263186
