"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,14864648,7432324.000000,56.03,14740,14849908,10490047.892842
"hsa_queue_create",1,10390699,10390699.000000,39.17,10390699,10390699,0.00000000e+00
"hsa_executable_destroy",1,1005993,1005993.000000,3.79,1005993,1005993,0.00000000e+00
"hsa_executable_load_agent_code_object",1,114777,114777.000000,0.4326,114777,114777,0.00000000e+00
"hsa_executable_freeze",1,100127,100127.000000,0.3774,100127,100127,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,22429,22429.000000,0.0845,22429,22429,0.00000000e+00
"hsa_executable_create_alt",1,12990,12990.000000,0.0490,12990,12990,0.00000000e+00
"hsa_iterate_agents",1,11120,11120.000000,0.0419,11120,11120,0.00000000e+00
"hsa_signal_create",2,1270,635.000000,4.787e-03,130,1140,714.177849
"hsa_executable_get_symbol_by_name",2,1230,615.000000,4.636e-03,290,940,459.619408
"hsa_signal_destroy",2,1019,509.500000,3.841e-03,310,709,282.135606
"hsa_agent_get_info",7,700,100.000000,2.639e-03,40,270,85.634884
"hsa_queue_load_write_index_relaxed",1,580,580.000000,2.186e-03,580,580,0.00000000e+00
"hsa_system_get_info",3,420,140.000000,1.583e-03,30,240,105.356538
"hsa_signal_store_relaxed",1,220,220.000000,8.293e-04,220,220,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,7.916e-04,210,210,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,200,200.000000,7.539e-04,200,200,0.00000000e+00
"hsa_code_object_reader_destroy",1,190,190.000000,7.162e-04,190,190,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,6.408e-04,20,90,32.015621
"hsa_signal_store_screlease",1,110,110.000000,4.146e-04,110,110,0.00000000e+00
