"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2792435,2792435,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196658342576047,6196658342580126
1,1,"Agent 2",1,2792435,2792435,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196658342576047,6196658342580126
1,1,"Agent 2",1,2792435,2792435,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",298.000000,6196658342576047,6196658342580126
1,1,"Agent 2",1,2792435,2792435,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",209.000000,6196658342576047,6196658342580126
1,1,"Agent 2",1,2792435,2792435,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",16.000000,6196658342576047,6196658342580126
2,2,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196658342766081,6196658342768361
2,2,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196658342766081,6196658342768361
2,2,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",90.000000,6196658342766081,6196658342768361
2,2,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",72.000000,6196658342766081,6196658342768361
2,2,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196658342766081,6196658342768361
3,3,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196658342840479,6196658342842679
3,3,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196658342840479,6196658342842679
3,3,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",85.000000,6196658342840479,6196658342842679
3,3,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",64.000000,6196658342840479,6196658342842679
3,3,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196658342840479,6196658342842679
4,4,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196658342908638,6196658342912678
4,4,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196658342908638,6196658342912678
4,4,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",163.000000,6196658342908638,6196658342912678
4,4,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6196658342908638,6196658342912678
4,4,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196658342908638,6196658342912678
5,5,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196658342974636,6196658342978156
5,5,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196658342974636,6196658342978156
5,5,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",194.000000,6196658342974636,6196658342978156
5,5,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6196658342974636,6196658342978156
5,5,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196658342974636,6196658342978156
6,6,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196658343042874,6196658343046234
6,6,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196658343042874,6196658343046234
6,6,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",199.000000,6196658343042874,6196658343046234
6,6,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6196658343042874,6196658343046234
6,6,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196658343042874,6196658343046234
7,7,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196658343108113,6196658343110353
7,7,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196658343108113,6196658343110353
7,7,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",95.000000,6196658343108113,6196658343110353
7,7,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6196658343108113,6196658343110353
7,7,"Agent 2",1,2792435,2792435,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196658343108113,6196658343110353
8,8,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6196658343210430,6196658343212030
8,8,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6196658343210430,6196658343212030
8,8,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",84.000000,6196658343210430,6196658343212030
8,8,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",35.000000,6196658343210430,6196658343212030
8,8,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6196658343210430,6196658343212030
9,9,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6196658343260709,6196658343262069
9,9,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6196658343260709,6196658343262069
9,9,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",85.000000,6196658343260709,6196658343262069
9,9,"Agent 2",1,2792435,2792435,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",34.000000,6196658343260709,6196658343262069
