"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2792444,2792444,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",122.000000,6196659461137865,6196659461142665
1,1,"Agent 2",1,2792444,2792444,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",238.000000,6196659461137865,6196659461142665
2,2,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",23.000000,6196659461370420,6196659461372740
2,2,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",36.000000,6196659461370420,6196659461372740
3,3,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,6196659461449339,6196659461451699
3,3,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",20.000000,6196659461449339,6196659461451699
4,4,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",24.000000,6196659461522818,6196659461526818
4,4,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",26.000000,6196659461522818,6196659461526818
5,5,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",22.000000,6196659461596617,6196659461600056
5,5,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6196659461596617,6196659461600056
6,6,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",23.000000,6196659461668615,6196659461672015
6,6,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6196659461668615,6196659461672015
7,7,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",11.000000,6196659461740014,6196659461742174
7,7,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6196659461740014,6196659461742174
8,8,"Agent 2",1,2792444,2792444,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",15.000000,6196659461850532,6196659461851972
8,8,"Agent 2",1,2792444,2792444,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",17.000000,6196659461850532,6196659461851972
9,9,"Agent 2",1,2792444,2792444,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",14.000000,6196659461914731,6196659461916091
9,9,"Agent 2",1,2792444,2792444,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",16.000000,6196659461914731,6196659461916091
10,10,"Agent 2",1,2792444,2792444,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"TCC_HIT_sum",12317986.000000,6196659462612830,6196659483508360
10,10,"Agent 2",1,2792444,2792444,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"TCC_MISS_sum",138605.000000,6196659462612830,6196659483508360
11,11,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,6196659483631758,6196659483634478
11,11,"Agent 2",1,2792444,2792444,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",16.000000,6196659483631758,6196659483634478
