"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,30297779,15148889.500000,71.89,14880,30282899,21402721.487983
"hsa_queue_create",1,10529595,10529595.000000,24.98,10529595,10529595,0.00000000e+00
"hsa_executable_destroy",1,1037632,1037632.000000,2.46,1037632,1037632,0.00000000e+00
"hsa_executable_load_agent_code_object",1,122047,122047.000000,0.2896,122047,122047,0.00000000e+00
"hsa_executable_freeze",1,103147,103147.000000,0.2447,103147,103147,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,22829,22829.000000,0.0542,22829,22829,0.00000000e+00
"hsa_executable_create_alt",1,14090,14090.000000,0.0334,14090,14090,0.00000000e+00
"hsa_iterate_agents",1,11679,11679.000000,0.0277,11679,11679,0.00000000e+00
"hsa_signal_create",2,1620,810.000000,3.844e-03,140,1480,947.523087
"hsa_executable_get_symbol_by_name",2,1330,665.000000,3.156e-03,290,1040,530.330086
"hsa_signal_destroy",2,820,410.000000,1.946e-03,140,680,381.837662
"hsa_agent_get_info",7,700,100.000000,1.661e-03,40,270,87.368949
"hsa_queue_cas_write_index_relaxed",1,400,400.000000,9.491e-04,400,400,0.00000000e+00
"hsa_queue_load_write_index_relaxed",1,310,310.000000,7.356e-04,310,310,0.00000000e+00
"hsa_system_get_info",3,260,86.666667,6.169e-04,20,190,90.737717
"hsa_signal_store_relaxed",1,220,220.000000,5.220e-04,220,220,0.00000000e+00
"hsa_executable_symbol_get_info",4,190,47.500000,4.508e-04,30,90,28.722813
"hsa_code_object_reader_destroy",1,180,180.000000,4.271e-04,180,180,0.00000000e+00
"hsa_signal_store_screlease",1,120,120.000000,2.847e-04,120,120,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,110,110.000000,2.610e-04,110,110,0.00000000e+00
