"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10638969,10638969.000000,89.91,10638969,10638969,0.00000000e+00
"hsa_signal_wait_scacquire",10,515326,51532.600000,4.36,7100,425678,131502.889034
"hsa_executable_freeze",2,311121,155560.500000,2.63,91617,219504,90429.764926
"hsa_executable_load_agent_code_object",2,259222,129611.000000,2.19,98917,160305,43407.871083
"hsa_code_object_reader_create_from_memory",2,32130,16065.000000,0.2715,8850,23280,10203.550853
"hsa_agent_get_info",60,25809,430.150000,0.2181,20,19219,2484.244999
"hsa_executable_create_alt",2,12479,6239.500000,0.1055,680,11799,7862.320300
"hsa_isa_get_info_alt",2,9940,4970.000000,0.0840,1210,8730,5317.442995
"hsa_signal_create",8,7020,877.500000,0.0593,110,1800,657.869939
"hsa_iterate_agents",1,6830,6830.000000,0.0577,6830,6830,0.00000000e+00
"hsa_executable_get_symbol_by_name",13,3270,251.538462,0.0276,110,1280,320.646382
"hsa_signal_load_relaxed",48,2380,49.583333,0.0201,20,470,73.425555
"hsa_queue_load_read_index_scacquire",11,2020,183.636364,0.0171,30,320,111.469523
"hsa_queue_add_write_index_screlease",11,960,87.272727,8.113e-03,30,540,152.124351
"hsa_executable_symbol_get_info",26,870,33.461538,7.353e-03,20,100,17.191232
"hsa_signal_destroy",2,730,365.000000,6.169e-03,230,500,190.918831
"hsa_system_get_info",4,720,180.000000,6.085e-03,30,450,186.547581
"hsa_queue_load_read_index_relaxed",3,690,230.000000,5.831e-03,70,320,138.924440
"hsa_system_get_major_extension_table",1,600,600.000000,5.071e-03,600,600,0.00000000e+00
"hsa_agent_iterate_isas",1,500,500.000000,4.226e-03,500,500,0.00000000e+00
"hsa_signal_silent_store_relaxed",10,460,46.000000,3.888e-03,20,180,49.933289
"hsa_signal_store_screlease",11,450,40.909091,3.803e-03,20,120,30.807319
