"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10327988,10327988.000000,88.00,10327988,10327988,0.00000000e+00
"hsa_executable_destroy",1,983913,983913.000000,8.38,983913,983913,0.00000000e+00
"hsa_signal_wait_scacquire",2,176905,88452.500000,1.51,14999,161906,103878.935904
"hsa_executable_load_agent_code_object",1,109757,109757.000000,0.9352,109757,109757,0.00000000e+00
"hsa_executable_freeze",1,89488,89488.000000,0.7625,89488,89488,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,19480,19480.000000,0.1660,19480,19480,0.00000000e+00
"hsa_executable_create_alt",1,11699,11699.000000,0.0997,11699,11699,0.00000000e+00
"hsa_iterate_agents",1,10880,10880.000000,0.0927,10880,10880,0.00000000e+00
"hsa_executable_get_symbol_by_name",2,1410,705.000000,0.0120,290,1120,586.898628
"hsa_signal_create",2,1260,630.000000,0.0107,110,1150,735.391052
"hsa_agent_get_info",7,870,124.285714,7.413e-03,40,270,95.717839
"hsa_signal_destroy",2,790,395.000000,6.731e-03,100,690,417.193001
"hsa_queue_load_write_index_relaxed",1,310,310.000000,2.641e-03,310,310,0.00000000e+00
"hsa_system_get_info",3,240,80.000000,2.045e-03,30,160,70.000000
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,1.789e-03,210,210,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,1.449e-03,30,80,25.000000
"hsa_code_object_reader_destroy",1,170,170.000000,1.449e-03,170,170,0.00000000e+00
"hsa_signal_store_relaxed",1,130,130.000000,1.108e-03,130,130,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,120,120.000000,1.023e-03,120,120,0.00000000e+00
"hsa_signal_store_screlease",1,110,110.000000,9.373e-04,110,110,0.00000000e+00
