"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10532112,10532112.000000,89.69,10532112,10532112,0.00000000e+00
"hsa_signal_wait_scacquire",10,504776,50477.600000,4.30,7180,414869,128071.675169
"hsa_executable_freeze",2,366270,183135.000000,3.12,156086,210184,38253.062649
"hsa_executable_load_agent_code_object",2,232963,116481.500000,1.98,82217,150746,48457.320608
"hsa_code_object_reader_create_from_memory",2,31599,15799.500000,0.2691,8930,22669,9714.940067
"hsa_agent_get_info",60,24820,413.666667,0.2114,20,18300,2369.250734
"hsa_executable_create_alt",2,11570,5785.000000,0.0985,750,10820,7120.565287
"hsa_isa_get_info_alt",2,9830,4915.000000,0.0837,1250,8580,5183.092706
"hsa_iterate_agents",1,7980,7980.000000,0.0680,7980,7980,0.00000000e+00
"hsa_signal_create",8,7440,930.000000,0.0634,110,1760,567.903412
"hsa_executable_get_symbol_by_name",13,3000,230.769231,0.0255,100,1080,268.621839
"hsa_queue_load_read_index_scacquire",11,2130,193.636364,0.0181,30,310,115.781927
"hsa_signal_load_relaxed",48,2130,44.375000,0.0181,20,310,54.807448
"hsa_queue_add_write_index_screlease",11,1110,100.909091,9.453e-03,30,690,198.113833
"hsa_system_get_info",4,970,242.500000,8.260e-03,30,440,217.619699
"hsa_executable_symbol_get_info",26,850,32.692308,7.238e-03,20,100,18.880189
"hsa_queue_load_read_index_relaxed",3,750,250.000000,6.387e-03,70,470,202.977831
"hsa_signal_destroy",2,650,325.000000,5.535e-03,230,420,134.350288
"hsa_system_get_major_extension_table",1,610,610.000000,5.195e-03,610,610,0.00000000e+00
"hsa_signal_store_screlease",11,550,50.000000,4.684e-03,20,220,58.651513
"hsa_signal_silent_store_relaxed",10,420,42.000000,3.577e-03,20,90,22.997584
"hsa_agent_iterate_isas",1,370,370.000000,3.151e-03,370,370,0.00000000e+00
