"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",271545.000000,6196600804554627,6196600804556987
1,1,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4317.000000,6196600804554627,6196600804556987
1,1,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196600804554627,6196600804556987
1,1,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3266.000000,6196600804554627,6196600804556987
2,2,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",282929.000000,6196600804639465,6196600804642785
2,2,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6253.000000,6196600804639465,6196600804642785
2,2,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196600804639465,6196600804642785
2,2,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3557.000000,6196600804639465,6196600804642785
3,3,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",274794.000000,6196600804725823,6196600804728663
3,3,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",5037.000000,6196600804725823,6196600804728663
3,3,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196600804725823,6196600804728663
3,3,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3480.000000,6196600804725823,6196600804728663
4,4,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",254230.000000,6196600804778462,6196600804781662
4,4,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6133.000000,6196600804778462,6196600804781662
4,4,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196600804778462,6196600804781662
4,4,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3533.000000,6196600804778462,6196600804781662
5,5,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",246538.000000,6196600804848021,6196600804850701
5,5,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4917.000000,6196600804848021,6196600804850701
5,5,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196600804848021,6196600804850701
5,5,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3373.000000,6196600804848021,6196600804850701
6,6,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",245867.000000,6196600804911500,6196600804913860
6,6,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4213.000000,6196600804911500,6196600804913860
6,6,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196600804911500,6196600804913860
6,6,"Agent 2",1,2787938,2787938,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3036.000000,6196600804911500,6196600804913860
7,7,"Agent 2",1,2787938,2787938,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"GRBM_GUI_ACTIVE",7121601.000000,6196600805693266,6196600805815103
7,7,"Agent 2",1,2787938,2787938,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"SQ_BUSY_CYCLES",978078.000000,6196600805693266,6196600805815103
7,7,"Agent 2",1,2787938,2787938,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"SQ_WAIT_INST_LDS",70.000000,6196600805693266,6196600805815103
7,7,"Agent 2",1,2787938,2787938,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"SQ_WAVE_CYCLES",2350587.000000,6196600805693266,6196600805815103
8,8,"Agent 2",1,2787938,2787938,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",258758.000000,6196600805911902,6196600805914622
8,8,"Agent 2",1,2787938,2787938,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",7320.000000,6196600805911902,6196600805914622
8,8,"Agent 2",1,2787938,2787938,1024,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196600805911902,6196600805914622
