"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10657549,10657549.000000,88.19,10657549,10657549,0.00000000e+00
"hsa_executable_destroy",1,988453,988453.000000,8.18,988453,988453,0.00000000e+00
"hsa_signal_wait_scacquire",2,176146,88073.000000,1.46,14290,161856,104344.919273
"hsa_executable_load_agent_code_object",1,118257,118257.000000,0.9785,118257,118257,0.00000000e+00
"hsa_executable_freeze",1,91188,91188.000000,0.7545,91188,91188,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,22089,22089.000000,0.1828,22089,22089,0.00000000e+00
"hsa_executable_create_alt",1,13710,13710.000000,0.1134,13710,13710,0.00000000e+00
"hsa_iterate_agents",1,11400,11400.000000,0.0943,11400,11400,0.00000000e+00
"hsa_executable_get_symbol_by_name",2,1670,835.000000,0.0138,290,1380,770.746391
"hsa_signal_create",2,1270,635.000000,0.0105,110,1160,742.462120
"hsa_signal_destroy",2,810,405.000000,6.702e-03,110,700,417.193001
"hsa_agent_get_info",7,690,98.571429,5.709e-03,30,280,90.816403
"hsa_queue_load_write_index_relaxed",1,580,580.000000,4.799e-03,580,580,0.00000000e+00
"hsa_system_get_info",3,330,110.000000,2.731e-03,30,250,121.655251
"hsa_queue_cas_write_index_relaxed",1,300,300.000000,2.482e-03,300,300,0.00000000e+00
"hsa_executable_symbol_get_info",4,180,45.000000,1.489e-03,30,90,30.000000
"hsa_code_object_reader_destroy",1,180,180.000000,1.489e-03,180,180,0.00000000e+00
"hsa_signal_store_relaxed",1,130,130.000000,1.076e-03,130,130,0.00000000e+00
"hsa_signal_store_screlease",1,120,120.000000,9.930e-04,120,120,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,110,110.000000,9.102e-04,110,110,0.00000000e+00
