"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10412068,10412068.000000,65.92,10412068,10412068,0.00000000e+00
"hsa_signal_wait_scacquire",10,4658694,465869.400000,29.49,7460,4000251,1252134.089394
"hsa_executable_freeze",2,343900,171950.000000,2.18,128956,214944,60802.697901
"hsa_executable_load_agent_code_object",2,267643,133821.500000,1.69,117617,150026,22916.623671
"hsa_code_object_reader_create_from_memory",2,36059,18029.500000,0.2283,13030,23029,7070.360705
"hsa_agent_get_info",60,24500,408.333333,0.1551,20,18020,2330.687806
"hsa_executable_create_alt",2,11899,5949.500000,0.0753,1949,9950,5657.561356
"hsa_isa_get_info_alt",2,10580,5290.000000,0.0670,1230,9350,5741.707063
"hsa_iterate_agents",1,7869,7869.000000,0.0498,7869,7869,0.00000000e+00
"hsa_signal_create",8,6780,847.500000,0.0429,120,1760,582.966551
"hsa_executable_get_symbol_by_name",13,3680,283.076923,0.0233,90,1170,380.928353
"hsa_signal_load_relaxed",49,2770,56.530612,0.0175,20,510,81.228870
"hsa_queue_load_read_index_scacquire",12,1880,156.666667,0.0119,30,410,127.517081
"hsa_queue_add_write_index_screlease",12,1350,112.500000,8.546e-03,30,530,149.369889
"hsa_signal_destroy",2,1330,665.000000,8.420e-03,620,710,63.639610
"hsa_executable_symbol_get_info",26,890,34.230769,5.634e-03,20,110,20.233255
"hsa_system_get_info",4,870,217.500000,5.508e-03,30,460,192.937814
"hsa_queue_load_read_index_relaxed",4,810,202.500000,5.128e-03,60,290,100.457288
"hsa_signal_silent_store_relaxed",10,700,70.000000,4.431e-03,20,180,64.635731
"hsa_agent_iterate_isas",1,640,640.000000,4.052e-03,640,640,0.00000000e+00
"hsa_signal_store_screlease",12,620,51.666667,3.925e-03,20,190,53.058001
"hsa_system_get_major_extension_table",1,570,570.000000,3.608e-03,570,570,0.00000000e+00
