"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196646133023478,6196646133026118
1,1,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196646133023478,6196646133026118
1,1,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",110.000000,6196646133023478,6196646133026118
1,1,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",104.000000,6196646133023478,6196646133026118
1,1,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196646133023478,6196646133026118
2,2,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196646133106116,6196646133108796
2,2,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196646133106116,6196646133108796
2,2,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",122.000000,6196646133106116,6196646133108796
2,2,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6196646133106116,6196646133108796
2,2,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196646133106116,6196646133108796
3,3,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196646133185556,6196646133188236
3,3,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196646133185556,6196646133188236
3,3,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",122.000000,6196646133185556,6196646133188236
3,3,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6196646133185556,6196646133188236
3,3,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196646133185556,6196646133188236
4,4,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196646133241915,6196646133245555
4,4,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196646133241915,6196646133245555
4,4,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",188.000000,6196646133241915,6196646133245555
4,4,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",105.000000,6196646133241915,6196646133245555
4,4,"Agent 2",1,2791991,2791991,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196646133241915,6196646133245555
5,5,"Agent 2",1,2791991,2791991,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6196646140535924,6196646140537604
