"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",278031.000000,6196648390698803,6196648390702243
1,1,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",5121.000000,6196648390698803,6196648390702243
1,1,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196648390698803,6196648390702243
1,1,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",8235.000000,6196648390698803,6196648390702243
2,2,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",252161.000000,6196648390779800,6196648390782480
2,2,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4925.000000,6196648390779800,6196648390782480
2,2,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196648390779800,6196648390782480
2,2,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3447.000000,6196648390779800,6196648390782480
3,3,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",263857.000000,6196648390861958,6196648390864678
3,3,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4993.000000,6196648390861958,6196648390864678
3,3,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196648390861958,6196648390864678
3,3,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3285.000000,6196648390861958,6196648390864678
4,4,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",292080.000000,6196648390916837,6196648390920637
4,4,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6681.000000,6196648390916837,6196648390920637
4,4,"Agent 2",1,2792196,2792196,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6196648390916837,6196648390920637
