"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10556664,10556664.000000,79.80,10556664,10556664,0.00000000e+00
"hsa_signal_wait_scacquire",2,1402052,701026.000000,10.60,14630,1387422,970710.532359
"hsa_executable_destroy",1,989963,989963.000000,7.48,989963,989963,0.00000000e+00
"hsa_executable_load_agent_code_object",1,126687,126687.000000,0.9576,126687,126687,0.00000000e+00
"hsa_executable_freeze",1,101977,101977.000000,0.7709,101977,101977,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,21660,21660.000000,0.1637,21660,21660,0.00000000e+00
"hsa_executable_create_alt",1,12239,12239.000000,0.0925,12239,12239,0.00000000e+00
"hsa_iterate_agents",1,11579,11579.000000,0.0875,11579,11579,0.00000000e+00
"hsa_executable_get_symbol_by_name",2,1650,825.000000,0.0125,280,1370,770.746391
"hsa_signal_create",2,1520,760.000000,0.0115,90,1430,947.523087
"hsa_signal_destroy",2,800,400.000000,6.047e-03,110,690,410.121933
"hsa_agent_get_info",7,700,100.000000,5.291e-03,40,280,92.195445
"hsa_queue_load_write_index_relaxed",1,450,450.000000,3.402e-03,450,450,0.00000000e+00
"hsa_system_get_info",3,230,76.666667,1.739e-03,20,160,73.711148
"hsa_queue_cas_write_index_relaxed",1,230,230.000000,1.739e-03,230,230,0.00000000e+00
"hsa_signal_store_screlease",1,210,210.000000,1.587e-03,210,210,0.00000000e+00
"hsa_executable_symbol_get_info",4,160,40.000000,1.209e-03,20,90,33.665016
"hsa_code_object_reader_destroy",1,160,160.000000,1.209e-03,160,160,0.00000000e+00
"hsa_signal_store_relaxed",1,130,130.000000,9.827e-04,130,130,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,100,100.000000,7.559e-04,100,100,0.00000000e+00
