"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",540,2126668715,3938275.398148,99.47,7429,4001944,485930.552426
"hsa_queue_create",1,10544979,10544979.000000,0.4932,10544979,10544979,0.00000000e+00
"hsa_executable_freeze",2,364180,182090.000000,0.0170,133696,230484,68439.451137
"hsa_executable_load_agent_code_object",2,295203,147601.500000,0.0138,117427,177776,42673.187138
"hsa_code_object_reader_create_from_memory",2,38709,19354.500000,1.811e-03,13620,25089,8109.807673
"hsa_agent_get_info",60,36539,608.983333,1.709e-03,20,28100,3644.077245
"hsa_executable_create_alt",2,12750,6375.000000,5.963e-04,1600,11150,6752.869760
"hsa_iterate_agents",1,12260,12260.000000,5.734e-04,12260,12260,0.00000000e+00
"hsa_isa_get_info_alt",2,12030,6015.000000,5.627e-04,1290,10740,6682.159082
"hsa_signal_create",8,7410,926.250000,3.466e-04,140,1660,580.933670
"hsa_executable_get_symbol_by_name",13,3520,270.769231,1.646e-04,100,1220,351.626258
"hsa_signal_load_relaxed",51,2560,50.196078,1.197e-04,20,320,60.580201
"hsa_queue_add_write_index_screlease",11,1910,173.636364,8.934e-05,30,800,280.544924
"hsa_queue_load_read_index_scacquire",11,1740,158.181818,8.138e-05,30,420,153.219984
"hsa_signal_destroy",2,1070,535.000000,5.005e-05,520,550,21.213203
"hsa_signal_store_screlease",11,980,89.090909,4.584e-05,20,610,173.346736
"hsa_system_get_info",4,900,225.000000,4.210e-05,40,450,179.722008
"hsa_queue_load_read_index_relaxed",4,890,222.500000,4.163e-05,70,330,109.962115
"hsa_signal_silent_store_relaxed",10,890,89.000000,4.163e-05,30,280,92.550287
"hsa_executable_symbol_get_info",26,860,33.076923,4.022e-05,20,100,18.712398
"hsa_system_get_major_extension_table",1,670,670.000000,3.134e-05,670,670,0.00000000e+00
"hsa_agent_iterate_isas",1,390,390.000000,1.824e-05,390,390,0.00000000e+00
