"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,1797506564,898753282.000000,99.34,14800,1797491764,1271008150.271008
"hsa_queue_create",1,10312705,10312705.000000,0.5699,10312705,10312705,0.00000000e+00
"hsa_executable_destroy",1,1228528,1228528.000000,0.0679,1228528,1228528,0.00000000e+00
"hsa_executable_load_agent_code_object",1,183605,183605.000000,0.0101,183605,183605,0.00000000e+00
"hsa_executable_freeze",1,135827,135827.000000,7.507e-03,135827,135827,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,28939,28939.000000,1.599e-03,28939,28939,0.00000000e+00
"hsa_executable_create_alt",1,14969,14969.000000,8.273e-04,14969,14969,0.00000000e+00
"hsa_iterate_agents",1,12910,12910.000000,7.135e-04,12910,12910,0.00000000e+00
"hsa_signal_destroy",2,2010,1005.000000,1.111e-04,660,1350,487.903679
"hsa_executable_get_symbol_by_name",2,1580,790.000000,8.732e-05,290,1290,707.106781
"hsa_signal_create",2,1400,700.000000,7.737e-05,120,1280,820.243866
"hsa_system_get_info",3,1050,350.000000,5.803e-05,30,830,423.320210
"hsa_agent_get_info",7,680,97.142857,3.758e-05,40,290,95.692961
"hsa_queue_cas_write_index_relaxed",1,390,390.000000,2.155e-05,390,390,0.00000000e+00
"hsa_signal_store_relaxed",1,220,220.000000,1.216e-05,220,220,0.00000000e+00
"hsa_code_object_reader_destroy",1,200,200.000000,1.105e-05,200,200,0.00000000e+00
"hsa_executable_symbol_get_info",4,190,47.500000,1.050e-05,30,90,28.722813
"hsa_queue_load_write_index_relaxed",1,130,130.000000,7.185e-06,130,130,0.00000000e+00
"hsa_signal_store_screlease",1,130,130.000000,7.185e-06,130,130,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,100,100.000000,5.527e-06,100,100,0.00000000e+00
