"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",1542,6133573212,3977673.937743,99.82,8370,4486763,3951595.561851
"hsa_queue_create",1,10543035,10543035.000000,0.1716,10543035,10543035,0.00000000e+00
"hsa_executable_freeze",2,359601,179800.500000,5.852e-03,131167,228434,68778.155286
"hsa_executable_load_agent_code_object",2,281203,140601.500000,4.576e-03,124317,156886,23029.760756
"hsa_code_object_reader_create_from_memory",2,37358,18679.000000,6.080e-04,13849,23509,6830.651506
"hsa_agent_get_info",60,34780,579.666667,5.660e-04,20,25410,3314.280333
"hsa_executable_create_alt",2,14310,7155.000000,2.329e-04,2320,11990,6837.722574
"hsa_isa_get_info_alt",2,13060,6530.000000,2.125e-04,1190,11870,7551.900423
"hsa_iterate_agents",1,12239,12239.000000,1.992e-04,12239,12239,0.00000000e+00
"hsa_signal_create",8,6520,815.000000,1.061e-04,120,1520,521.289610
"hsa_signal_load_relaxed",50,3650,73.000000,5.940e-05,20,600,104.593479
"hsa_executable_get_symbol_by_name",13,3510,270.000000,5.712e-05,100,1190,342.588188
"hsa_queue_load_read_index_scacquire",12,1620,135.000000,2.636e-05,30,300,114.613977
"hsa_queue_add_write_index_screlease",12,1480,123.333333,2.409e-05,30,670,191.706847
"hsa_signal_destroy",2,1260,630.000000,2.050e-05,570,690,84.852814
"hsa_queue_load_read_index_relaxed",4,1040,260.000000,1.692e-05,70,450,155.991453
"hsa_executable_symbol_get_info",26,880,33.846154,1.432e-05,20,90,16.988684
"hsa_system_get_info",4,880,220.000000,1.432e-05,40,440,174.547033
"hsa_signal_store_screlease",12,820,68.333333,1.334e-05,20,220,66.172410
"hsa_system_get_major_extension_table",1,710,710.000000,1.155e-05,710,710,0.00000000e+00
"hsa_signal_silent_store_relaxed",10,680,68.000000,1.107e-05,20,180,53.707024
"hsa_agent_iterate_isas",1,670,670.000000,1.090e-05,670,670,0.00000000e+00
