"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,7247538717,3623769358.500000,99.83,14330,7247524387,2795792721.116592
"hsa_queue_create",1,10462769,10462769.000000,0.1441,10462769,10462769,0.00000000e+00
"hsa_executable_destroy",1,1323075,1323075.000000,0.0182,1323075,1323075,0.00000000e+00
"hsa_executable_load_agent_code_object",1,144436,144436.000000,1.990e-03,144436,144436,0.00000000e+00
"hsa_executable_freeze",1,119867,119867.000000,1.651e-03,119867,119867,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,28369,28369.000000,3.908e-04,28369,28369,0.00000000e+00
"hsa_iterate_agents",1,13309,13309.000000,1.833e-04,13309,13309,0.00000000e+00
"hsa_executable_create_alt",1,12970,12970.000000,1.787e-04,12970,12970,0.00000000e+00
"hsa_system_get_info",3,1890,630.000000,2.603e-05,30,1660,896.046874
"hsa_signal_destroy",2,1750,875.000000,2.411e-05,670,1080,289.913780
"hsa_signal_create",2,1530,765.000000,2.108e-05,130,1400,898.025612
"hsa_executable_get_symbol_by_name",2,1430,715.000000,1.970e-05,280,1150,615.182900
"hsa_agent_get_info",7,910,130.000000,1.254e-05,30,370,136.503968
"hsa_queue_load_write_index_relaxed",1,470,470.000000,6.474e-06,470,470,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,280,280.000000,3.857e-06,280,280,0.00000000e+00
"hsa_signal_store_relaxed",1,230,230.000000,3.168e-06,230,230,0.00000000e+00
"hsa_signal_store_screlease",1,210,210.000000,2.893e-06,210,210,0.00000000e+00
"hsa_code_object_reader_destroy",1,210,210.000000,2.893e-06,210,210,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,200,200.000000,2.755e-06,200,200,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,2.342e-06,20,90,32.015621
