"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,11326405,5663202.500000,48.70,14780,11311625,7988075.705513
"hsa_queue_create",1,10454398,10454398.000000,44.95,10454398,10454398,0.00000000e+00
"hsa_executable_destroy",1,1037182,1037182.000000,4.46,1037182,1037182,0.00000000e+00
"hsa_executable_load_agent_code_object",1,227953,227953.000000,0.9801,227953,227953,0.00000000e+00
"hsa_executable_freeze",1,156376,156376.000000,0.6724,156376,156376,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,24299,24299.000000,0.1045,24299,24299,0.00000000e+00
"hsa_executable_create_alt",1,12930,12930.000000,0.0556,12930,12930,0.00000000e+00
"hsa_iterate_agents",1,11850,11850.000000,0.0510,11850,11850,0.00000000e+00
"hsa_executable_get_symbol_by_name",2,1620,810.000000,6.965e-03,290,1330,735.391052
"hsa_signal_create",2,1400,700.000000,6.019e-03,110,1290,834.386002
"hsa_signal_destroy",2,1000,500.000000,4.300e-03,310,690,268.700577
"hsa_agent_get_info",7,710,101.428571,3.053e-03,40,290,91.365305
"hsa_system_get_info",3,370,123.333333,1.591e-03,30,260,120.968315
"hsa_queue_load_write_index_relaxed",1,330,330.000000,1.419e-03,330,330,0.00000000e+00
"hsa_signal_store_relaxed",1,240,240.000000,1.032e-03,240,240,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,9.029e-04,210,210,0.00000000e+00
"hsa_code_object_reader_destroy",1,200,200.000000,8.599e-04,200,200,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,7.309e-04,20,90,32.015621
"hsa_queue_load_read_index_scacquire",1,110,110.000000,4.730e-04,110,110,0.00000000e+00
"hsa_signal_store_screlease",1,110,110.000000,4.730e-04,110,110,0.00000000e+00
