"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196721714345663,6196721714349023
1,1,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196721714345663,6196721714349023
1,1,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",137.000000,6196721714345663,6196721714349023
1,1,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",81.000000,6196721714345663,6196721714349023
1,1,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196721714345663,6196721714349023
2,2,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196721714432261,6196721714434621
2,2,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196721714432261,6196721714434621
2,2,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",110.000000,6196721714432261,6196721714434621
2,2,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",104.000000,6196721714432261,6196721714434621
2,2,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196721714432261,6196721714434621
3,3,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196721714514981,6196721714518181
3,3,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196721714514981,6196721714518181
3,3,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",158.000000,6196721714514981,6196721714518181
3,3,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6196721714514981,6196721714518181
3,3,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6196721714514981,6196721714518181
4,4,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6196721714573020,6196721714576700
4,4,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6196721714573020,6196721714576700
4,4,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",199.000000,6196721714573020,6196721714576700
4,4,"Agent 2",1,2797080,2797080,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6196721714573020,6196721714576700
