"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",25,45649960,1825998.400000,80.27,7320,4000253,1984212.068119
"hsa_queue_create",1,10451190,10451190.000000,18.38,10451190,10451190,0.00000000e+00
"hsa_executable_freeze",2,357670,178835.000000,0.6289,127617,230053,72433.190238
"hsa_executable_load_agent_code_object",2,280553,140276.500000,0.4933,118047,162506,31437.260385
"hsa_code_object_reader_create_from_memory",2,36898,18449.000000,0.0649,12619,24279,8244.865069
"hsa_agent_get_info",60,32860,547.666667,0.0578,20,25490,3301.662327
"hsa_executable_create_alt",2,12440,6220.000000,0.0219,1420,11020,6788.225099
"hsa_isa_get_info_alt",2,11680,5840.000000,0.0205,1140,10540,6646.803743
"hsa_iterate_agents",1,11189,11189.000000,0.0197,11189,11189,0.00000000e+00
"hsa_signal_create",8,6880,860.000000,0.0121,100,1530,554.256258
"hsa_executable_get_symbol_by_name",13,4300,330.769231,7.561e-03,100,1710,499.841000
"hsa_signal_load_relaxed",71,4050,57.042254,7.122e-03,20,310,72.454801
"hsa_queue_load_read_index_scacquire",13,2200,169.230769,3.868e-03,30,400,124.864029
"hsa_signal_store_screlease",13,1380,106.153846,2.427e-03,20,550,192.636898
"hsa_queue_add_write_index_screlease",13,1210,93.076923,2.128e-03,30,730,193.364277
"hsa_system_get_info",4,1140,285.000000,2.005e-03,30,540,247.991935
"hsa_signal_silent_store_relaxed",14,900,64.285714,1.583e-03,20,200,66.876958
"hsa_executable_symbol_get_info",26,870,33.461538,1.530e-03,20,110,20.773504
"hsa_signal_destroy",2,850,425.000000,1.495e-03,360,490,91.923882
"hsa_queue_load_read_index_relaxed",3,580,193.333333,1.020e-03,60,270,115.902258
"hsa_system_get_major_extension_table",1,570,570.000000,1.002e-03,570,570,0.00000000e+00
"hsa_agent_iterate_isas",1,390,390.000000,6.858e-04,390,390,0.00000000e+00
