"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10595347,10595347.000000,85.57,10595347,10595347,0.00000000e+00
"hsa_signal_wait_scacquire",15,1040479,69365.266667,8.40,7280,843863,214703.094977
"hsa_executable_freeze",2,347543,173771.500000,2.81,131708,215835,59486.772181
"hsa_executable_load_agent_code_object",2,275474,137737.000000,2.22,125937,149537,16687.720036
"hsa_code_object_reader_create_from_memory",2,37970,18985.000000,0.3067,13020,24950,8435.783900
"hsa_agent_get_info",60,25289,421.483333,0.2043,20,18109,2352.206281
"hsa_executable_create_alt",2,12849,6424.500000,0.1038,1930,10919,6356.182856
"hsa_isa_get_info_alt",2,10790,5395.000000,0.0871,1150,9640,6003.336572
"hsa_iterate_agents",1,8510,8510.000000,0.0687,8510,8510,0.00000000e+00
"hsa_signal_create",8,7430,928.750000,0.0600,130,1570,550.621402
"hsa_signal_load_relaxed",73,3719,50.945205,0.0300,20,490,71.382750
"hsa_executable_get_symbol_by_name",13,3430,263.846154,0.0277,100,1110,319.153528
"hsa_queue_load_read_index_scacquire",16,3310,206.875000,0.0267,30,390,118.811826
"hsa_signal_destroy",2,1860,930.000000,0.0150,890,970,56.568542
"hsa_queue_add_write_index_screlease",16,1490,93.125000,0.0120,30,420,123.489203
"hsa_signal_silent_store_relaxed",16,1230,76.875000,9.934e-03,20,360,100.114518
"hsa_system_get_info",4,1180,295.000000,9.530e-03,220,450,106.614571
"hsa_queue_load_read_index_relaxed",4,970,242.500000,7.834e-03,70,460,161.529151
"hsa_executable_symbol_get_info",26,840,32.307692,6.784e-03,20,90,16.323650
"hsa_system_get_major_extension_table",1,640,640.000000,5.169e-03,640,640,0.00000000e+00
"hsa_signal_store_screlease",16,640,40.000000,5.169e-03,20,130,28.982753
"hsa_agent_iterate_isas",1,380,380.000000,3.069e-03,380,380,0.00000000e+00
