"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3107403,3107403,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",129.000000,6200792770403691,6200792770406971
1,1,"Agent 2",1,3107403,3107403,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",262.000000,6200792770403691,6200792770406971
2,2,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",37.000000,6200792770498651,6200792770501691
2,2,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",50.000000,6200792770498651,6200792770501691
3,3,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",74.000000,6200792770573251,6200792770575691
3,3,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",138.000000,6200792770573251,6200792770575691
4,4,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",42.000000,6200792777864311,6200792777867271
4,4,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",94.000000,6200792777864311,6200792777867271
5,5,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",13.000000,6200792777960351,6200792777962711
5,5,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",16.000000,6200792777960351,6200792777962711
6,6,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",16.000000,6200792778036351,6200792778039151
6,6,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200792778036351,6200792778039151
7,7,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,6200792778111392,6200792778115752
7,7,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200792778111392,6200792778115752
8,8,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",22.000000,6200792778189472,6200792778194712
8,8,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200792778189472,6200792778194712
9,9,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",15.000000,6200792778274592,6200792778277152
9,9,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200792778274592,6200792778277152
10,10,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",11.000000,6200792778348793,6200792778351073
10,10,"Agent 2",1,3107403,3107403,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200792778348793,6200792778351073
11,11,"Agent 2",1,3107403,3107403,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_HIT_sum",4049851.000000,6200792779260987,6200792779691510
11,11,"Agent 2",1,3107403,3107403,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"TCC_MISS_sum",76470.000000,6200792779260987,6200792779691510
12,12,"Agent 2",1,3107403,3107403,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",123.000000,6200792779821710,6200792779824830
12,12,"Agent 2",1,3107403,3107403,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",232.000000,6200792779821710,6200792779824830
