"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3107476,3107476,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",286573.000000,6200793866371164,6200793866373764
1,1,"Agent 2",1,3107476,3107476,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",8960.000000,6200793866371164,6200793866373764
1,1,"Agent 2",1,3107476,3107476,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793866371164,6200793866373764
1,1,"Agent 2",1,3107476,3107476,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",15910.000000,6200793866371164,6200793866373764
2,2,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",278014.000000,6200793866450242,6200793866453322
2,2,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",5561.000000,6200793866450242,6200793866453322
2,2,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793866450242,6200793866453322
2,2,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",4432.000000,6200793866450242,6200793866453322
3,3,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",239509.000000,6200793866528280,6200793866530640
3,3,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",3870.000000,6200793866528280,6200793866530640
3,3,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793866528280,6200793866530640
3,3,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",7560.000000,6200793866528280,6200793866530640
4,4,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",244644.000000,6200793873748005,6200793873749965
4,4,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",3554.000000,6200793873748005,6200793873749965
4,4,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793873748005,6200793873749965
4,4,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",4449.000000,6200793873748005,6200793873749965
5,5,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",242705.000000,6200793873837283,6200793873839403
5,5,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",3557.000000,6200793873837283,6200793873839403
5,5,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793873837283,6200793873839403
5,5,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2474.000000,6200793873837283,6200793873839403
6,6,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",242223.000000,6200793873904642,6200793873907162
6,6,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4461.000000,6200793873904642,6200793873907162
6,6,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793873904642,6200793873907162
6,6,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2558.000000,6200793873904642,6200793873907162
7,7,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",254154.000000,6200793873969521,6200793873972641
7,7,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",5733.000000,6200793873969521,6200793873972641
7,7,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793873969521,6200793873972641
7,7,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3022.000000,6200793873969521,6200793873972641
8,8,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",281708.000000,6200793874040481,6200793874043841
8,8,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6153.000000,6200793874040481,6200793874043841
8,8,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793874040481,6200793874043841
8,8,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3122.000000,6200793874040481,6200793874043841
9,9,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",381194.000000,6200793874115720,6200793874122600
9,9,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4325.000000,6200793874115720,6200793874122600
9,9,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793874115720,6200793874122600
9,9,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2704.000000,6200793874115720,6200793874122600
10,10,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",234905.000000,6200793874183759,6200793874185879
10,10,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",3697.000000,6200793874183759,6200793874185879
10,10,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200793874183759,6200793874185879
10,10,"Agent 2",1,3107476,3107476,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2486.000000,6200793874183759,6200793874185879
11,11,"Agent 2",1,3107476,3107476,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"GRBM_GUI_ACTIVE",12363468.000000,6200793875081629,6200793875510705
11,11,"Agent 2",1,3107476,3107476,20224,13,"clifft::gpu::(anonymous namespace)::sample_kernel(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,0,4480,60,0,112,"SQ_BUSY_CYCLES",29680236.000000,6200793875081629,6200793875510705
