"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10389021,10389021.000000,86.28,10389021,10389021,0.00000000e+00
"hsa_executable_destroy",1,1002100,1002100.000000,8.32,1002100,1002100,0.00000000e+00
"hsa_signal_wait_scacquire",2,387473,193736.500000,3.22,15220,372253,252460.455407
"hsa_executable_load_agent_code_object",1,116108,116108.000000,0.9643,116108,116108,0.00000000e+00
"hsa_executable_freeze",1,95389,95389.000000,0.7922,95389,95389,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,22269,22269.000000,0.1849,22269,22269,0.00000000e+00
"hsa_executable_create_alt",1,11180,11180.000000,0.0929,11180,11180,0.00000000e+00
"hsa_iterate_agents",1,10860,10860.000000,0.0902,10860,10860,0.00000000e+00
"hsa_signal_create",2,1550,775.000000,0.0129,310,1240,657.609307
"hsa_executable_get_symbol_by_name",2,1369,684.500000,0.0114,290,1079,557.907250
"hsa_signal_destroy",2,880,440.000000,7.308e-03,190,690,353.553391
"hsa_agent_get_info",7,650,92.857143,5.398e-03,40,250,79.312522
"hsa_queue_load_write_index_relaxed",1,470,470.000000,3.903e-03,470,470,0.00000000e+00
"hsa_system_get_info",3,340,113.333333,2.824e-03,20,280,144.683563
"hsa_queue_load_read_index_scacquire",1,210,210.000000,1.744e-03,210,210,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,1.744e-03,210,210,0.00000000e+00
"hsa_signal_store_screlease",1,200,200.000000,1.661e-03,200,200,0.00000000e+00
"hsa_code_object_reader_destroy",1,180,180.000000,1.495e-03,180,180,0.00000000e+00
"hsa_signal_store_relaxed",1,160,160.000000,1.329e-03,160,160,0.00000000e+00
"hsa_executable_symbol_get_info",4,160,40.000000,1.329e-03,20,80,27.080128
