"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",20,21374446,1068722.300000,65.64,6870,4000289,1753858.204867
"hsa_queue_create",1,10442888,10442888.000000,32.07,10442888,10442888,0.00000000e+00
"hsa_executable_freeze",2,343254,171627.000000,1.05,124618,218636,66480.765354
"hsa_executable_load_agent_code_object",2,285194,142597.000000,0.8758,121977,163217,29161.083656
"hsa_code_object_reader_create_from_memory",2,35800,17900.000000,0.1099,11120,24680,9588.367953
"hsa_agent_get_info",60,25980,433.000000,0.0798,20,19340,2507.700209
"hsa_executable_create_alt",2,13470,6735.000000,0.0414,1690,11780,7134.707422
"hsa_isa_get_info_alt",2,10990,5495.000000,0.0337,1550,9440,5579.072504
"hsa_iterate_agents",1,8580,8580.000000,0.0263,8580,8580,0.00000000e+00
"hsa_signal_create",8,7110,888.750000,0.0218,110,1620,554.319080
"hsa_executable_get_symbol_by_name",13,3520,270.769231,0.0108,110,1070,354.952146
"hsa_signal_load_relaxed",78,3500,44.871795,0.0107,20,260,52.365935
"hsa_queue_load_read_index_scacquire",15,2770,184.666667,8.506e-03,30,520,135.376020
"hsa_signal_destroy",2,1080,540.000000,3.316e-03,490,590,70.710678
"hsa_queue_add_write_index_screlease",15,1060,70.666667,3.255e-03,30,540,131.880176
"hsa_signal_silent_store_relaxed",16,990,61.875000,3.040e-03,20,270,74.226568
"hsa_system_get_info",4,980,245.000000,3.009e-03,30,440,170.195965
"hsa_queue_load_read_index_relaxed",4,850,212.500000,2.610e-03,60,310,111.766125
"hsa_executable_symbol_get_info",26,840,32.307692,2.579e-03,20,100,19.038423
"hsa_system_get_major_extension_table",1,710,710.000000,2.180e-03,710,710,0.00000000e+00
"hsa_signal_store_screlease",15,650,43.333333,1.996e-03,20,200,47.459256
"hsa_agent_iterate_isas",1,380,380.000000,1.167e-03,380,380,0.00000000e+00
