"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3112381,3112381,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829237700507,6200829237705307
1,1,"Agent 2",1,3112381,3112381,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829237700507,6200829237705307
1,1,"Agent 2",1,3112381,3112381,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",298.000000,6200829237700507,6200829237705307
1,1,"Agent 2",1,3112381,3112381,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",209.000000,6200829237700507,6200829237705307
1,1,"Agent 2",1,3112381,3112381,1024,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",16.000000,6200829237700507,6200829237705307
2,2,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829237880503,6200829237882783
2,2,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829237880503,6200829237882783
2,2,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",90.000000,6200829237880503,6200829237882783
2,2,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",72.000000,6200829237880503,6200829237882783
2,2,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200829237880503,6200829237882783
3,3,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829237955782,6200829237957942
3,3,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829237955782,6200829237957942
3,3,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",85.000000,6200829237955782,6200829237957942
3,3,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",64.000000,6200829237955782,6200829237957942
3,3,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200829237955782,6200829237957942
4,4,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829238022101,6200829238026181
4,4,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829238022101,6200829238026181
4,4,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",163.000000,6200829238022101,6200829238026181
4,4,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6200829238022101,6200829238026181
4,4,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200829238022101,6200829238026181
5,5,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829238087980,6200829238091620
5,5,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829238087980,6200829238091620
5,5,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",194.000000,6200829238087980,6200829238091620
5,5,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6200829238087980,6200829238091620
5,5,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200829238087980,6200829238091620
6,6,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829238157139,6200829238160739
6,6,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829238157139,6200829238160739
6,6,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",199.000000,6200829238157139,6200829238160739
6,6,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6200829238157139,6200829238160739
6,6,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200829238157139,6200829238160739
7,7,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829238220418,6200829238222458
7,7,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829238220418,6200829238222458
7,7,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",95.000000,6200829238220418,6200829238222458
7,7,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6200829238220418,6200829238222458
7,7,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200829238220418,6200829238222458
8,8,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6200829238330896,6200829238332256
8,8,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6200829238330896,6200829238332256
8,8,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",84.000000,6200829238330896,6200829238332256
8,8,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",35.000000,6200829238330896,6200829238332256
8,8,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6200829238330896,6200829238332256
9,9,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6200829238384615,6200829238386135
9,9,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6200829238384615,6200829238386135
9,9,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",85.000000,6200829238384615,6200829238386135
9,9,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",34.000000,6200829238384615,6200829238386135
9,9,"Agent 2",1,3112381,3112381,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6200829238384615,6200829238386135
10,10,"Agent 2",1,3112381,3112381,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"SQ_INSTS_LDS",252681010.000000,6200829239070917,6200829259972982
10,10,"Agent 2",1,3112381,3112381,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"SQ_INSTS_MFMA",0.00000000e+00,6200829239070917,6200829259972982
10,10,"Agent 2",1,3112381,3112381,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"SQ_INSTS_SALU",4831192411.000000,6200829239070917,6200829259972982
10,10,"Agent 2",1,3112381,3112381,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"SQ_INSTS_VALU",2057014842.000000,6200829239070917,6200829259972982
10,10,"Agent 2",1,3112381,3112381,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"SQ_WAVES",80000.000000,6200829239070917,6200829259972982
11,11,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200829260084389,6200829260086789
11,11,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200829260084389,6200829260086789
11,11,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",163.000000,6200829260084389,6200829260086789
11,11,"Agent 2",1,3112381,3112381,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6200829260084389,6200829260086789
