"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3112471,3112471,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",122.000000,6200830430386177,6200830430390697
1,1,"Agent 2",1,3112471,3112471,1024,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",230.000000,6200830430386177,6200830430390697
2,2,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",23.000000,6200830430602257,6200830430604697
2,2,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",36.000000,6200830430602257,6200830430604697
3,3,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,6200830430681817,6200830430683897
3,3,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",20.000000,6200830430681817,6200830430683897
4,4,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",24.000000,6200830430758577,6200830430762857
4,4,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",26.000000,6200830430758577,6200830430762857
5,5,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",22.000000,6200830430832897,6200830430836577
5,5,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200830430832897,6200830430836577
6,6,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",23.000000,6200830430906977,6200830430910417
6,6,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200830430906977,6200830430910417
7,7,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",11.000000,6200830430980057,6200830430982217
7,7,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6200830430980057,6200830430982217
8,8,"Agent 2",1,3112471,3112471,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",15.000000,6200830431168217,6200830431169657
8,8,"Agent 2",1,3112471,3112471,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",17.000000,6200830431168217,6200830431169657
9,9,"Agent 2",1,3112471,3112471,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",14.000000,6200830431231297,6200830431232937
9,9,"Agent 2",1,3112471,3112471,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",16.000000,6200830431231297,6200830431232937
10,10,"Agent 2",1,3112471,3112471,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"TCC_HIT_sum",12328357.000000,6200830431902279,6200830452792642
10,10,"Agent 2",1,3112471,3112471,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"TCC_MISS_sum",138594.000000,6200830431902279,6200830452792642
11,11,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,6200830452916602,6200830452919442
11,11,"Agent 2",1,3112471,3112471,512,5,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",16.000000,6200830452916602,6200830452919442
