"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3112634,3112634,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",292216.000000,6200831601680337,6200831601685057
1,1,"Agent 2",1,3112634,3112634,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",14453.000000,6200831601680337,6200831601685057
1,1,"Agent 2",1,3112634,3112634,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831601680337,6200831601685057
1,1,"Agent 2",1,3112634,3112634,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",18012.000000,6200831601680337,6200831601685057
2,2,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",260470.000000,6200831601857013,6200831601859173
2,2,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",3626.000000,6200831601857013,6200831601859173
2,2,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831601857013,6200831601859173
2,2,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3369.000000,6200831601857013,6200831601859173
3,3,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",236795.000000,6200831601927212,6200831601929332
3,3,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",3557.000000,6200831601927212,6200831601929332
3,3,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831601927212,6200831601929332
3,3,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2589.000000,6200831601927212,6200831601929332
4,4,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",274510.000000,6200831601994211,6200831601998131
4,4,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",7801.000000,6200831601994211,6200831601998131
4,4,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831601994211,6200831601998131
4,4,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3759.000000,6200831601994211,6200831601998131
5,5,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",285499.000000,6200831602062850,6200831602066330
5,5,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6513.000000,6200831602062850,6200831602066330
5,5,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831602062850,6200831602066330
5,5,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3297.000000,6200831602062850,6200831602066330
6,6,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",286189.000000,6200831602136129,6200831602139529
6,6,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6469.000000,6200831602136129,6200831602139529
6,6,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831602136129,6200831602139529
6,6,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3422.000000,6200831602136129,6200831602139529
7,7,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",243492.000000,6200831602199928,6200831602201968
7,7,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",3725.000000,6200831602199928,6200831602201968
7,7,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831602199928,6200831602201968
7,7,"Agent 2",1,3112634,3112634,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",2570.000000,6200831602199928,6200831602201968
8,8,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"GRBM_GUI_ACTIVE",174605.000000,6200831602306927,6200831602308527
8,8,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_BUSY_CYCLES",2521.000000,6200831602306927,6200831602308527
8,8,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831602306927,6200831602308527
8,8,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVE_CYCLES",1591.000000,6200831602306927,6200831602308527
9,9,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"GRBM_GUI_ACTIVE",172675.000000,6200831602357606,6200831602359246
9,9,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_BUSY_CYCLES",2865.000000,6200831602357606,6200831602359246
9,9,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,6200831602357606,6200831602359246
9,9,"Agent 2",1,3112634,3112634,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVE_CYCLES",1610.000000,6200831602357606,6200831602359246
10,10,"Agent 2",1,3112634,3112634,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"GRBM_GUI_ACTIVE",368942549.000000,6200831603040358,6200831623959185
10,10,"Agent 2",1,3112634,3112634,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"SQ_BUSY_CYCLES",1458325328.000000,6200831603040358,6200831623959185
