"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,30358553,15179276.500000,71.58,14509,30344044,21446219.868735
"hsa_queue_create",1,10432579,10432579.000000,24.60,10432579,10432579,0.00000000e+00
"hsa_executable_destroy",1,1123998,1123998.000000,2.65,1123998,1123998,0.00000000e+00
"hsa_executable_load_agent_code_object",1,247345,247345.000000,0.5832,247345,247345,0.00000000e+00
"hsa_executable_freeze",1,160097,160097.000000,0.3775,160097,160097,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,42849,42849.000000,0.1010,42849,42849,0.00000000e+00
"hsa_executable_create_alt",1,21080,21080.000000,0.0497,21080,21080,0.00000000e+00
"hsa_iterate_agents",1,11969,11969.000000,0.0282,11969,11969,0.00000000e+00
"hsa_signal_create",2,6970,3485.000000,0.0164,150,6820,4716.402231
"hsa_executable_get_symbol_by_name",2,1260,630.000000,2.971e-03,290,970,480.832611
"hsa_signal_destroy",2,1130,565.000000,2.664e-03,290,840,388.908730
"hsa_queue_load_write_index_relaxed",1,940,940.000000,2.216e-03,940,940,0.00000000e+00
"hsa_agent_get_info",7,670,95.714286,1.580e-03,40,250,77.858235
"hsa_system_get_info",3,660,220.000000,1.556e-03,20,350,175.783958
"hsa_queue_load_read_index_scacquire",1,630,630.000000,1.485e-03,630,630,0.00000000e+00
"hsa_code_object_reader_destroy",1,280,280.000000,6.602e-04,280,280,0.00000000e+00
"hsa_signal_store_screlease",1,250,250.000000,5.895e-04,250,250,0.00000000e+00
"hsa_signal_store_relaxed",1,230,230.000000,5.423e-04,230,230,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,4.951e-04,210,210,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,4.008e-04,30,80,25.000000
