"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10693794,10693794.000000,91.09,10693794,10693794,0.00000000e+00
"hsa_signal_wait_scacquire",10,393943,39394.300000,3.36,7370,296814,90498.348243
"hsa_executable_freeze",2,307114,153557.000000,2.62,85409,221705,96375.825849
"hsa_executable_load_agent_code_object",2,235145,117572.500000,2.00,83428,151717,48287.614980
"hsa_code_object_reader_create_from_memory",2,32140,16070.000000,0.2738,8900,23240,10139.911242
"hsa_agent_get_info",60,25610,426.833333,0.2181,20,18820,2437.654813
"hsa_executable_create_alt",2,12200,6100.000000,0.1039,670,11530,7679.179644
"hsa_isa_get_info_alt",2,11310,5655.000000,0.0963,1150,10160,6371.032098
"hsa_iterate_agents",1,8160,8160.000000,0.0695,8160,8160,0.00000000e+00
"hsa_signal_create",8,6660,832.500000,0.0567,120,1610,532.078136
"hsa_executable_get_symbol_by_name",13,3030,233.076923,0.0258,100,1230,308.122936
"hsa_signal_load_relaxed",48,2410,50.208333,0.0205,20,370,65.736080
"hsa_queue_load_read_index_scacquire",11,2249,204.454545,0.0192,30,449,130.683866
"hsa_signal_destroy",2,1080,540.000000,9.199e-03,230,850,438.406204
"hsa_queue_add_write_index_screlease",11,1040,94.545455,8.859e-03,30,630,179.129207
"hsa_system_get_info",4,990,247.500000,8.433e-03,40,450,168.201268
"hsa_executable_symbol_get_info",26,860,33.076923,7.325e-03,20,100,17.611185
"hsa_system_get_major_extension_table",1,590,590.000000,5.026e-03,590,590,0.00000000e+00
"hsa_queue_load_read_index_relaxed",3,510,170.000000,4.344e-03,60,240,96.436508
"hsa_signal_store_screlease",11,450,40.909091,3.833e-03,20,120,30.807319
"hsa_signal_silent_store_relaxed",10,400,40.000000,3.407e-03,20,90,25.385910
"hsa_agent_iterate_isas",1,370,370.000000,3.152e-03,370,370,0.00000000e+00
