"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200780418401554,6200780418406313
1,1,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200780418401554,6200780418406313
1,1,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",163.000000,6200780418401554,6200780418406313
1,1,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6200780418401554,6200780418406313
1,1,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200780418401554,6200780418406313
2,2,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200780418483790,6200780418486950
2,2,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200780418483790,6200780418486950
2,2,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",158.000000,6200780418483790,6200780418486950
2,2,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6200780418483790,6200780418486950
2,2,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200780418483790,6200780418486950
3,3,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200780418562508,6200780418567268
3,3,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200780418562508,6200780418567268
3,3,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",122.000000,6200780418562508,6200780418567268
3,3,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6200780418562508,6200780418567268
3,3,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200780418562508,6200780418567268
4,4,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200780418621267,6200780418624347
4,4,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200780418621267,6200780418624347
4,4,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",158.000000,6200780418621267,6200780418624347
4,4,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6200780418621267,6200780418624347
4,4,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200780418621267,6200780418624347
5,5,"Agent 2",1,3106213,3106213,512,7,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200780418688185,6200780418690825
