"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",303097.000000,6200782634763138,6200782634766818
1,1,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6641.000000,6200782634763138,6200782634766818
1,1,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200782634763138,6200782634766818
1,1,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3911.000000,6200782634763138,6200782634766818
2,2,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",255276.000000,6200782634844574,6200782634847654
2,2,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",5729.000000,6200782634844574,6200782634847654
2,2,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200782634844574,6200782634847654
2,2,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3573.000000,6200782634844574,6200782634847654
3,3,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",246391.000000,6200782634911052,6200782634913692
3,3,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4897.000000,6200782634911052,6200782634913692
3,3,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200782634911052,6200782634913692
3,3,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3264.000000,6200782634911052,6200782634913692
4,4,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",257041.000000,6200782634966890,6200782634969930
4,4,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",5765.000000,6200782634966890,6200782634969930
4,4,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200782634966890,6200782634969930
4,4,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3719.000000,6200782634966890,6200782634969930
5,5,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",269756.000000,6200782635046608,6200782635049208
5,5,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4637.000000,6200782635046608,6200782635049208
5,5,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200782635046608,6200782635049208
5,5,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3262.000000,6200782635046608,6200782635049208
6,6,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",248893.000000,6200782635117726,6200782635120126
6,6,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4253.000000,6200782635117726,6200782635120126
6,6,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200782635117726,6200782635120126
6,6,"Agent 2",1,3106390,3106390,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3333.000000,6200782635117726,6200782635120126
