"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10663386,10663386.000000,88.46,10663386,10663386,0.00000000e+00
"hsa_executable_destroy",1,966421,966421.000000,8.02,966421,966421,0.00000000e+00
"hsa_signal_wait_scacquire",2,178865,89432.500000,1.48,15359,163506,104755.748312
"hsa_executable_load_agent_code_object",1,105848,105848.000000,0.8781,105848,105848,0.00000000e+00
"hsa_executable_freeze",1,91568,91568.000000,0.7596,91568,91568,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,19820,19820.000000,0.1644,19820,19820,0.00000000e+00
"hsa_executable_create_alt",1,11639,11639.000000,0.0966,11639,11639,0.00000000e+00
"hsa_iterate_agents",1,10880,10880.000000,0.0903,10880,10880,0.00000000e+00
"hsa_executable_get_symbol_by_name",2,1700,850.000000,0.0141,290,1410,791.959595
"hsa_signal_create",2,1460,730.000000,0.0121,110,1350,876.812409
"hsa_signal_destroy",2,820,410.000000,6.802e-03,140,680,381.837662
"hsa_agent_get_info",7,770,110.000000,6.387e-03,40,260,83.266640
"hsa_queue_load_write_index_relaxed",1,420,420.000000,3.484e-03,420,420,0.00000000e+00
"hsa_system_get_info",3,280,93.333333,2.323e-03,20,220,110.151411
"hsa_signal_store_relaxed",1,220,220.000000,1.825e-03,220,220,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,200,200.000000,1.659e-03,200,200,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,1.410e-03,30,80,25.000000
"hsa_code_object_reader_destroy",1,170,170.000000,1.410e-03,170,170,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,110,110.000000,9.125e-04,110,110,0.00000000e+00
"hsa_signal_store_screlease",1,110,110.000000,9.125e-04,110,110,0.00000000e+00
