"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10489229,10489229.000000,90.77,10489229,10489229,0.00000000e+00
"hsa_signal_wait_scacquire",10,403642,40364.200000,3.49,7300,308554,94281.958685
"hsa_executable_freeze",2,300493,150246.500000,2.60,86558,213935,90069.140467
"hsa_executable_load_agent_code_object",2,257885,128942.500000,2.23,94488,163397,48726.021185
"hsa_code_object_reader_create_from_memory",2,29740,14870.000000,0.2574,8500,21240,9008.540392
"hsa_agent_get_info",60,23879,397.983333,0.2066,20,17720,2291.887302
"hsa_executable_create_alt",2,12219,6109.500000,0.1057,800,11419,7508.766909
"hsa_isa_get_info_alt",2,10070,5035.000000,0.0871,1130,8940,5522.503961
"hsa_iterate_agents",1,8069,8069.000000,0.0698,8069,8069,0.00000000e+00
"hsa_signal_create",8,7040,880.000000,0.0609,110,1760,608.487586
"hsa_executable_get_symbol_by_name",13,2850,219.230769,0.0247,100,1050,260.303078
"hsa_signal_load_relaxed",48,2170,45.208333,0.0188,20,380,62.670689
"hsa_queue_load_read_index_scacquire",11,1900,172.727273,0.0164,30,260,99.708667
"hsa_signal_destroy",2,1050,525.000000,9.087e-03,220,830,431.335137
"hsa_executable_symbol_get_info",26,890,34.230769,7.702e-03,20,110,18.798527
"hsa_system_get_major_extension_table",1,860,860.000000,7.442e-03,860,860,0.00000000e+00
"hsa_queue_add_write_index_screlease",11,780,70.909091,6.750e-03,30,330,92.027664
"hsa_system_get_info",4,700,175.000000,6.058e-03,30,460,194.336478
"hsa_queue_load_read_index_relaxed",3,540,180.000000,4.673e-03,40,260,121.655251
"hsa_signal_silent_store_relaxed",10,520,52.000000,4.500e-03,20,190,50.946595
"hsa_signal_store_screlease",11,410,37.272727,3.548e-03,20,130,31.333978
"hsa_agent_iterate_isas",1,370,370.000000,3.202e-03,370,370,0.00000000e+00
