"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10539259,10539259.000000,88.34,10539259,10539259,0.00000000e+00
"hsa_executable_destroy",1,968900,968900.000000,8.12,968900,968900,0.00000000e+00
"hsa_signal_wait_scacquire",2,176896,88448.000000,1.48,14819,162077,104127.130384
"hsa_executable_load_agent_code_object",1,105628,105628.000000,0.8853,105628,105628,0.00000000e+00
"hsa_executable_freeze",1,90348,90348.000000,0.7573,90348,90348,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,21150,21150.000000,0.1773,21150,21150,0.00000000e+00
"hsa_executable_create_alt",1,11839,11839.000000,0.0992,11839,11839,0.00000000e+00
"hsa_iterate_agents",1,10950,10950.000000,0.0918,10950,10950,0.00000000e+00
"hsa_executable_get_symbol_by_name",2,1730,865.000000,0.0145,290,1440,813.172798
"hsa_signal_create",2,1130,565.000000,9.471e-03,80,1050,685.893578
"hsa_signal_destroy",2,860,430.000000,7.208e-03,160,700,381.837662
"hsa_agent_get_info",7,720,102.857143,6.035e-03,40,290,92.324480
"hsa_queue_load_write_index_relaxed",1,310,310.000000,2.598e-03,310,310,0.00000000e+00
"hsa_system_get_info",3,240,80.000000,2.012e-03,20,160,72.111026
"hsa_queue_cas_write_index_relaxed",1,200,200.000000,1.676e-03,200,200,0.00000000e+00
"hsa_code_object_reader_destroy",1,180,180.000000,1.509e-03,180,180,0.00000000e+00
"hsa_executable_symbol_get_info",4,160,40.000000,1.341e-03,20,80,27.080128
"hsa_signal_store_relaxed",1,120,120.000000,1.006e-03,120,120,0.00000000e+00
"hsa_signal_store_screlease",1,120,120.000000,1.006e-03,120,120,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,110,110.000000,9.220e-04,110,110,0.00000000e+00
