"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",280856.000000,6200818923834507,6200818923837107
1,1,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4583.000000,6200818923834507,6200818923837107
1,1,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200818923834507,6200818923837107
1,1,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",7418.000000,6200818923834507,6200818923837107
2,2,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",265106.000000,6200818923918665,6200818923921305
2,2,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4761.000000,6200818923918665,6200818923921305
2,2,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200818923918665,6200818923921305
2,2,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3396.000000,6200818923918665,6200818923921305
3,3,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",239491.000000,6200818923995544,6200818923998064
3,3,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",4801.000000,6200818923995544,6200818923998064
3,3,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200818923995544,6200818923998064
3,3,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",3024.000000,6200818923995544,6200818923998064
4,4,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"GRBM_GUI_ACTIVE",257927.000000,6200818924050663,6200818924053983
4,4,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_BUSY_CYCLES",6197.000000,6200818924050663,6200818924053983
4,4,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,6200818924050663,6200818924053983
4,4,"Agent 2",1,3111379,3111379,512,6,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVE_CYCLES",7688.000000,6200818924050663,6200818924053983
5,5,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"GRBM_GUI_ACTIVE",170954.000000,6200818932169629,6200818932171349
5,5,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_BUSY_CYCLES",2501.000000,6200818932169629,6200818932171349
5,5,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,6200818932169629,6200818932171349
5,5,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVE_CYCLES",1600.000000,6200818932169629,6200818932171349
6,6,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"GRBM_GUI_ACTIVE",165661.000000,6200818932222827,6200818932224387
6,6,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_BUSY_CYCLES",2405.000000,6200818932222827,6200818932224387
6,6,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,6200818932222827,6200818932224387
6,6,"Agent 2",1,3111379,3111379,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVE_CYCLES",1490.000000,6200818932222827,6200818932224387
7,7,"Agent 2",1,3111379,3111379,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"GRBM_GUI_ACTIVE",75313713.000000,6200818932910073,6200818937260722
7,7,"Agent 2",1,3111379,3111379,5120000,12,"clifft::gpu::(anonymous namespace)::sample_kernel_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::BlockCounts*)",256,23040,8,64,0,112,"SQ_BUSY_CYCLES",290175596.000000,6200818932910073,6200818937260722
