"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_queue_create",1,10616475,10616475.000000,79.40,10616475,10616475,0.00000000e+00
"hsa_signal_wait_scacquire",2,1412991,706495.500000,10.57,14760,1398231,978261.725675
"hsa_executable_destroy",1,1065359,1065359.000000,7.97,1065359,1065359,0.00000000e+00
"hsa_executable_load_agent_code_object",1,124928,124928.000000,0.9343,124928,124928,0.00000000e+00
"hsa_executable_freeze",1,100118,100118.000000,0.7488,100118,100118,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,22319,22319.000000,0.1669,22319,22319,0.00000000e+00
"hsa_executable_create_alt",1,13060,13060.000000,0.0977,13060,13060,0.00000000e+00
"hsa_iterate_agents",1,10040,10040.000000,0.0751,10040,10040,0.00000000e+00
"hsa_executable_get_symbol_by_name",2,1450,725.000000,0.0108,290,1160,615.182900
"hsa_signal_create",2,1290,645.000000,9.648e-03,130,1160,728.319985
"hsa_signal_destroy",2,790,395.000000,5.908e-03,110,680,403.050865
"hsa_agent_get_info",7,620,88.571429,4.637e-03,30,230,71.746910
"hsa_queue_load_write_index_relaxed",1,500,500.000000,3.739e-03,500,500,0.00000000e+00
"hsa_system_get_info",3,310,103.333333,2.318e-03,30,230,110.151411
"hsa_signal_store_screlease",1,290,290.000000,2.169e-03,290,290,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,200,200.000000,1.496e-03,200,200,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,1.271e-03,30,80,25.000000
"hsa_code_object_reader_destroy",1,170,170.000000,1.271e-03,170,170,0.00000000e+00
"hsa_signal_store_relaxed",1,130,130.000000,9.722e-04,130,130,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,110,110.000000,8.227e-04,110,110,0.00000000e+00
