"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",540,2127108809,3939090.387037,99.47,8310,4485676,486498.679002
"hsa_queue_create",1,10543340,10543340.000000,0.4930,10543340,10543340,0.00000000e+00
"hsa_executable_freeze",2,350663,175331.500000,0.0164,129617,221046,64650.065897
"hsa_executable_load_agent_code_object",2,276024,138012.000000,0.0129,117718,158306,28700.050035
"hsa_code_object_reader_create_from_memory",2,37520,18760.000000,1.755e-03,12940,24580,8230.722933
"hsa_agent_get_info",60,36329,605.483333,1.699e-03,20,29099,3760.925096
"hsa_executable_create_alt",2,13060,6530.000000,6.107e-04,2090,10970,6279.108217
"hsa_isa_get_info_alt",2,12010,6005.000000,5.616e-04,1200,10810,6795.296167
"hsa_iterate_agents",1,10500,10500.000000,4.910e-04,10500,10500,0.00000000e+00
"hsa_signal_create",8,7240,905.000000,3.386e-04,100,1660,565.836928
"hsa_executable_get_symbol_by_name",13,3360,258.461538,1.571e-04,90,1030,308.054274
"hsa_signal_load_relaxed",51,3100,60.784314,1.450e-04,20,610,94.102989
"hsa_queue_load_read_index_scacquire",11,1600,145.454545,7.482e-05,30,420,140.311342
"hsa_queue_add_write_index_screlease",11,1370,124.545455,6.407e-05,30,810,231.186662
"hsa_signal_destroy",2,1259,629.500000,5.888e-05,540,719,126.572114
"hsa_system_get_info",4,1000,250.000000,4.676e-05,30,460,176.823829
"hsa_signal_store_screlease",11,900,81.818182,4.209e-05,20,490,136.953874
"hsa_executable_symbol_get_info",26,880,33.846154,4.115e-05,20,100,17.222526
"hsa_queue_load_read_index_relaxed",4,810,202.500000,3.788e-05,60,260,95.350232
"hsa_system_get_major_extension_table",1,740,740.000000,3.461e-05,740,740,0.00000000e+00
"hsa_signal_silent_store_relaxed",10,720,72.000000,3.367e-05,20,330,94.727680
"hsa_agent_iterate_isas",1,470,470.000000,2.198e-05,470,470,0.00000000e+00
