"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200992079186076,6200992079188836
1,1,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200992079186076,6200992079188836
1,1,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",122.000000,6200992079186076,6200992079188836
1,1,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6200992079186076,6200992079188836
1,1,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200992079186076,6200992079188836
2,2,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6200992079263434,6200992079265914
2,2,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6200992079263434,6200992079265914
2,2,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",122.000000,6200992079263434,6200992079265914
2,2,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6200992079263434,6200992079265914
2,2,"Agent 2",1,3128712,3128712,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6200992079263434,6200992079265914
3,3,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6200992079864660,6200992079866340
3,3,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6200992079864660,6200992079866340
3,3,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",84.000000,6200992079864660,6200992079866340
3,3,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",35.000000,6200992079864660,6200992079866340
3,3,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6200992079864660,6200992079866340
4,4,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6200992079919019,6200992079920619
4,4,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6200992079919019,6200992079920619
4,4,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",85.000000,6200992079919019,6200992079920619
4,4,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",34.000000,6200992079919019,6200992079920619
4,4,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6200992079919019,6200992079920619
5,5,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6200992079970977,6200992079972337
5,5,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6200992079970977,6200992079972337
5,5,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",84.000000,6200992079970977,6200992079972337
5,5,"Agent 2",1,3128712,3128712,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",35.000000,6200992079970977,6200992079972337
