"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",1019,4043884278,3968483.099117,99.72,8389,4670092,353975.719183
"hsa_queue_create",1,10785032,10785032.000000,0.2659,10785032,10785032,0.00000000e+00
"hsa_executable_freeze",2,357042,178521.000000,8.804e-03,128687,228355,70475.918667
"hsa_executable_load_agent_code_object",2,268534,134267.000000,6.622e-03,113477,155057,29401.499962
"hsa_code_object_reader_create_from_memory",2,39329,19664.500000,9.698e-04,13730,25599,8392.650386
"hsa_agent_get_info",60,36438,607.300000,8.985e-04,20,29369,3794.352593
"hsa_executable_create_alt",2,13560,6780.000000,3.344e-04,2200,11360,6477.098116
"hsa_isa_get_info_alt",2,12170,6085.000000,3.001e-04,1190,10980,6922.575388
"hsa_iterate_agents",1,11330,11330.000000,2.794e-04,11330,11330,0.00000000e+00
"hsa_signal_create",8,6959,869.875000,1.716e-04,120,1600,560.545764
"hsa_signal_load_relaxed",50,3620,72.400000,8.926e-05,20,520,111.328893
"hsa_executable_get_symbol_by_name",13,3340,256.923077,8.236e-05,100,1080,313.299234
"hsa_queue_load_read_index_scacquire",12,1690,140.833333,4.167e-05,30,300,119.731391
"hsa_queue_add_write_index_screlease",12,1249,104.083333,3.080e-05,30,430,138.301685
"hsa_signal_destroy",2,1130,565.000000,2.786e-05,430,700,190.918831
"hsa_signal_silent_store_relaxed",10,960,96.000000,2.367e-05,20,410,123.935467
"hsa_executable_symbol_get_info",26,870,33.461538,2.145e-05,20,100,20.580050
"hsa_system_get_info",4,860,215.000000,2.121e-05,40,450,184.481255
"hsa_queue_load_read_index_relaxed",4,850,212.500000,2.096e-05,80,310,96.046864
"hsa_signal_store_screlease",12,830,69.166667,2.047e-05,20,290,83.061678
"hsa_system_get_major_extension_table",1,700,700.000000,1.726e-05,700,700,0.00000000e+00
"hsa_agent_iterate_isas",1,390,390.000000,9.617e-06,390,390,0.00000000e+00
