"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3140758,3140758,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6201150510527166,6201150510531686
1,1,"Agent 2",1,3140758,3140758,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6201150510527166,6201150510531686
1,1,"Agent 2",1,3140758,3140758,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",313.000000,6201150510527166,6201150510531686
1,1,"Agent 2",1,3140758,3140758,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",233.000000,6201150510527166,6201150510531686
1,1,"Agent 2",1,3140758,3140758,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",16.000000,6201150510527166,6201150510531686
2,2,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6201150510611684,6201150510614324
2,2,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6201150510611684,6201150510614324
2,2,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",122.000000,6201150510611684,6201150510614324
2,2,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6201150510611684,6201150510614324
2,2,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6201150510611684,6201150510614324
3,3,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6201150510688803,6201150510691403
3,3,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6201150510688803,6201150510691403
3,3,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",122.000000,6201150510688803,6201150510691403
3,3,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",57.000000,6201150510688803,6201150510691403
3,3,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6201150510688803,6201150510691403
4,4,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6201150518383159,6201150518384879
4,4,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6201150518383159,6201150518384879
4,4,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",84.000000,6201150518383159,6201150518384879
4,4,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",35.000000,6201150518383159,6201150518384879
4,4,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6201150518383159,6201150518384879
5,5,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6201150518440037,6201150518441837
5,5,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6201150518440037,6201150518441837
5,5,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",85.000000,6201150518440037,6201150518441837
5,5,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",34.000000,6201150518440037,6201150518441837
5,5,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6201150518440037,6201150518441837
6,6,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_LDS",0.00000000e+00,6201150518492997,6201150518494477
6,6,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_MFMA",0.00000000e+00,6201150518492997,6201150518494477
6,6,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_SALU",84.000000,6201150518492997,6201150518494477
6,6,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_INSTS_VALU",35.000000,6201150518492997,6201150518494477
6,6,"Agent 2",1,3140758,3140758,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"SQ_WAVES",4.000000,6201150518492997,6201150518494477
7,7,"Agent 2",1,3140758,3140758,131072,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"SQ_INSTS_LDS",6667368.000000,6201150519211135,6201153754791178
7,7,"Agent 2",1,3140758,3140758,131072,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"SQ_INSTS_MFMA",0.00000000e+00,6201150519211135,6201153754791178
7,7,"Agent 2",1,3140758,3140758,131072,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"SQ_INSTS_SALU",23331276887.000000,6201150519211135,6201153754791178
7,7,"Agent 2",1,3140758,3140758,131072,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"SQ_INSTS_VALU",229566504528.000000,6201150519211135,6201153754791178
7,7,"Agent 2",1,3140758,3140758,131072,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"SQ_WAVES",8000.000000,6201150519211135,6201153754791178
8,8,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,6201153754918379,6201153754921659
8,8,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_MFMA",0.00000000e+00,6201153754918379,6201153754921659
8,8,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_SALU",163.000000,6201153754918379,6201153754921659
8,8,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_VALU",65.000000,6201153754918379,6201153754921659
8,8,"Agent 2",1,3140758,3140758,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_WAVES",8.000000,6201153754918379,6201153754921659
