"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,3147303,3147303,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",134.000000,6201256734262570,6201256734267250
1,1,"Agent 2",1,3147303,3147303,1024,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",270.000000,6201256734262570,6201256734267250
2,2,"Agent 2",1,3147303,3147303,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,6201256734357726,6201256734360486
2,2,"Agent 2",1,3147303,3147303,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6201256734357726,6201256734360486
3,3,"Agent 2",1,3147303,3147303,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",14.000000,6201256734430484,6201256734433204
3,3,"Agent 2",1,3147303,3147303,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",14.000000,6201256734430484,6201256734433204
4,4,"Agent 2",1,3147303,3147303,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",15.000000,6201256742130801,6201256742132560
4,4,"Agent 2",1,3147303,3147303,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",49.000000,6201256742130801,6201256742132560
5,5,"Agent 2",1,3147303,3147303,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",14.000000,6201256742199318,6201256742201118
5,5,"Agent 2",1,3147303,3147303,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",16.000000,6201256742199318,6201256742201118
6,6,"Agent 2",1,3147303,3147303,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT_sum",14.000000,6201256742266437,6201256742268117
6,6,"Agent 2",1,3147303,3147303,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS_sum",16.000000,6201256742266437,6201256742268117
7,7,"Agent 2",1,3147303,3147303,87296,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"TCC_HIT_sum",117133794434.000000,6201256742992539,6201262870110596
7,7,"Agent 2",1,3147303,3147303,87296,11,"clifft::gpu::(anonymous namespace)::sample_kernel_global_coop(clifft::gpu::GpuProgram, unsigned long, unsigned long, unsigned long, clifft::gpu::GpuComplex*, clifft::gpu::GpuComplex*, unsigned long*, clifft::gpu::BlockCounts*)",256,8704,56,64,0,112,"TCC_MISS_sum",54771732535.000000,6201256742992539,6201262870110596
8,8,"Agent 2",1,3147303,3147303,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_HIT_sum",20.000000,6201262870252837,6201262870256117
8,8,"Agent 2",1,3147303,3147303,512,8,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"TCC_MISS_sum",33.000000,6201262870252837,6201262870256117
