"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,7242851435,3621425717.500000,99.83,14899,7242836536,2789711196.340605
"hsa_queue_create",1,10557143,10557143.000000,0.1455,10557143,10557143,0.00000000e+00
"hsa_executable_destroy",1,1339471,1339471.000000,0.0185,1339471,1339471,0.00000000e+00
"hsa_executable_load_agent_code_object",1,160527,160527.000000,2.213e-03,160527,160527,0.00000000e+00
"hsa_executable_freeze",1,126578,126578.000000,1.745e-03,126578,126578,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,31089,31089.000000,4.285e-04,31089,31089,0.00000000e+00
"hsa_executable_create_alt",1,14410,14410.000000,1.986e-04,14410,14410,0.00000000e+00
"hsa_iterate_agents",1,12469,12469.000000,1.719e-04,12469,12469,0.00000000e+00
"hsa_signal_destroy",2,2160,1080.000000,2.977e-05,680,1480,565.685425
"hsa_system_get_info",3,1690,563.333333,2.329e-05,30,1490,805.563985
"hsa_signal_create",2,1680,840.000000,2.316e-05,300,1380,763.675324
"hsa_executable_get_symbol_by_name",2,1520,760.000000,2.095e-05,330,1190,608.111832
"hsa_agent_get_info",7,700,100.000000,9.648e-06,30,250,87.939373
"hsa_queue_load_write_index_relaxed",1,360,360.000000,4.962e-06,360,360,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,2.895e-06,210,210,0.00000000e+00
"hsa_code_object_reader_destroy",1,210,210.000000,2.895e-06,210,210,0.00000000e+00
"hsa_signal_store_screlease",1,190,190.000000,2.619e-06,190,190,0.00000000e+00
"hsa_signal_store_relaxed",1,180,180.000000,2.481e-06,180,180,0.00000000e+00
"hsa_executable_symbol_get_info",4,170,42.500000,2.343e-06,20,90,32.015621
"hsa_queue_load_read_index_scacquire",1,120,120.000000,1.654e-06,120,120,0.00000000e+00
